test_data_name,image_auroc,pixel_auroc
bottle,87.93650793650792,91.359238934456
cable,97.67616191904048,92.03736344724584
capsule,75.94734742720382,97.73466535305975
carpet,99.438202247191,98.79845160623901
grid,90.14202172096908,86.20671968802093
hazelnut,93.46428571428571,97.7265006591804
leather,100.0,99.27541026967235
metal_nut,99.46236559139786,98.07888479851147
pill,90.20731042007638,96.10012636893285
screw,68.29268292682926,97.32400555325991
tile,99.45887445887448,95.22502298701497
toothbrush,99.72222222222223,98.5305664997456
transistor,99.45833333333334,94.00743907103332
wood,92.28070175438596,87.59143772345487
zipper,97.74159663865547,98.08905194499418
