test_data_name,image_auroc,pixel_auroc
bottle,99.68253968253968,98.31522106253848
cable,86.52548725637182,83.05988853920702
capsule,62.86398085360989,96.84761982811676
carpet,99.43820224719101,99.06987696145664
grid,98.83040935672514,95.06555877260905
hazelnut,91.71428571428571,96.45206806301461
leather,100.0,99.2901150534367
metal_nut,99.95112414467253,84.81732963464657
pill,89.44353518821603,95.8136494630186
screw,54.04796064767372,91.57109842025221
tile,97.1861471861472,95.33190506943039
toothbrush,99.44444444444444,98.5674906337431
transistor,95.54166666666667,89.32158988089866
wood,98.59649122807016,93.52204938872116
zipper,96.875,95.00793253979197
