test_data_name,image_auroc,pixel_auroc
bottle,99.84126984126985,98.35804412926912
cable,98.7631184407796,95.76957744659974
capsule,93.33865177502992,98.3416966924432
carpet,99.23756019261639,98.79705642918253
grid,86.0484544695071,83.34671930518431
hazelnut,100.0,98.38883025679004
leather,100.0,99.28023582590586
metal_nut,99.95112414467253,91.43148696381765
pill,90.39825422804145,96.02230582437366
screw,54.04796064767371,96.54094514654051
tile,98.44877344877344,94.61526199644149
toothbrush,88.88888888888889,96.61705094795721
transistor,99.58333333333333,91.79711209781783
wood,95.26315789473685,92.69542825209061
zipper,97.42647058823529,98.06166543855146
