test_data_name,image_auroc,pixel_auroc
bottle,92.93650793650792,93.32100578397787
cable,93.59070464767618,88.55071276917172
capsule,91.18468288791385,98.69827273570795
carpet,88.96468699839487,88.64745018461917
grid,91.97994987468672,88.50490425707285
hazelnut,100.0,96.47988262245563
leather,100.0,99.28006763643414
metal_nut,97.89833822091887,95.64945483427195
pill,93.01691216584834,96.81006378929465
screw,77.24943635990982,96.64618703177119
tile,96.93362193362192,91.09866244913856
toothbrush,100.0,98.69239492737624
transistor,96.29166666666666,89.89996552787632
wood,94.38596491228071,95.13316082765041
zipper,98.81827731092436,98.45498402350198
