test_data_name,image_auroc,pixel_auroc
bottle,100.0,98.47587768050599
cable,96.47676161919041,95.08710516395355
capsule,93.17909852413243,98.40719631522184
carpet,96.95024077046548,96.50048611047885
grid,91.72932330827066,91.825648087117
hazelnut,98.57142857142858,98.42314926509738
leather,100.0,99.28182358358849
metal_nut,98.87585532746823,96.40801168792832
pill,90.94380796508456,96.25284422297831
screw,88.35827013732323,93.3256664736038
tile,98.52092352092352,95.44028072806906
toothbrush,100.0,98.652117477566
transistor,99.41666666666666,95.08999272509003
wood,80.52631578947368,76.01218488420417
zipper,96.90126050420169,98.50842441845732
