method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auprc,class_size_pred_error,auroc,tail_pred_acc,tail_pred_mcc,tail_pred_precision,tail_pred_recall,ratio_missing_tail_std,ratio_included_anomaly_std,ratio_included_head_std,auprc_std,class_size_pred_error_std,auroc_std,tail_pred_acc_std,tail_pred_mcc_std,tail_pred_precision_std,tail_pred_recall_std
acs-trim_min-none,0.0,15.068144565790124,75.56948989588247,79.35670915542477,0.869,99.78020332677193,88.74581629274569,0.40233152091990093,0.24430510104117528,1.0,0.0,8.738361790573547,26.50857914514409,16.654985159733265,0.034275757996095446,0.27965899245292125,6.604743449514044,0.2625458289182743,0.26508579145144096,0.0
acs-trim_min-mode,0.0,5.697018524563216,39.56063650732037,77.33557855342139,0.18333333333333332,99.76316533125602,97.4225729572936,0.7481939799324527,0.6043936349267963,1.0,0.0,3.8424272572471803,25.57755446958529,18.51205770234048,0.04685512030558214,0.2833206286485709,3.209686424113929,0.18847249568814384,0.25577554469585284,0.0
acs-trim_min-mean,1.5625,4.962406921255666,33.07172814644253,83.47990047649229,0.187,99.83650397780008,97.22617809214474,0.770494865912976,0.6692827185355747,0.984375,5.960425342089328,6.1970316905529925,31.067991149921042,15.408924894051568,0.04519307240167953,0.2343612011908525,4.565188036511623,0.23511242657539314,0.3106799114992104,0.059604253420893295
acs-truncate_min-none,0.0,18.085489753422397,83.81640681624592,78.44120896092959,0.954,99.76947329365406,85.77475319616497,0.31988957223696685,0.16183593183754091,1.0,0.0,6.944594129061319,19.057819381995156,16.100094269386716,0.013287276776598378,0.279524503968741,5.742975815258185,0.2073253685873149,0.19057819381995159,0.0
acs-truncate_min-mode,0.0,9.176491415479948,58.55433680583569,77.27076476676666,0.519,99.75429616326406,93.97454849075682,0.5743610148104051,0.4144566319416431,1.0,0.0,4.836846120021819,28.949278215299245,16.999056094133866,0.025777563085378898,0.29005684454182107,5.555335888745066,0.2733118798779789,0.2894927821529924,0.0
acs-truncate_min-mean,1.2037037037037037,8.100806411137663,55.294188820561054,82.16887983228376,0.5176666666666667,99.81209532037646,94.74534407190124,0.5955841830597769,0.4470581117943894,0.9879629629629629,4.595339165530746,6.862284650035251,31.930561355792552,14.787560051680856,0.026350859873862795,0.2621266914214893,5.45071174513875,0.2712988950461058,0.31930561355792547,0.04595339165530748
acs-half_min-none,0.0,13.735214780265746,71.92602928742323,80.34236651558726,0.8190000000000001,99.79385761200881,90.73705025502325,0.4401498816838185,0.28073970712576773,1.0,0.0,7.6599026811648745,28.787112090204822,17.16293347100738,0.04758658170766932,0.28064370486407414,6.036079316135716,0.27416352971868985,0.28787112090204825,0.0
acs-half_min-mode,0.3819444444444444,5.016757044465119,38.92987575105761,80.52150257981015,0.037000000000000005,99.55070910094864,97.13391488020231,0.7376967094557039,0.6107012424894239,0.9961805555555556,1.6063840598577306,3.6497386152647304,31.40280921448068,20.193846633322593,0.04976842926719849,1.0154656553230015,3.7899570000593945,0.2420196870312052,0.31402809214480676,0.016063840598577312
acs-half_min-mean,0.8125,3.6450676382310525,31.979193018552632,87.3924610568855,0.049,99.76739205618159,97.52141204483148,0.7835108656599447,0.6802080698144738,0.9918750000000001,2.5698747956889343,3.202398944165674,31.1693731774001,15.24254734170287,0.04844833721925185,0.4768645746554928,3.5255764673395253,0.24085794059785592,0.3116937317740011,0.02569874795688935
lof,41.8679218816414,59.27524706562086,93.25925213077895,48.41823356891455,1.0,68.83331204133314,84.6124451359113,0.12559987466245212,0.06740747869221055,0.581320781183586,41.96697867551831,8.227618549739837,7.288647013268075,42.088031961036556,0.0,32.87211733386211,1.6449104068355365,0.12248432322096073,0.07288647013268071,0.4196697867551831
lof_norm,43.89732551775235,60.957568599997245,92.99246110204908,45.48341065128946,1.0,66.67626320229968,84.69373991092046,0.12284107130476868,0.07007538897950912,0.5610267448224765,39.385671605890394,8.548571121071264,8.502983334913813,40.45151438206182,0.0,31.390773689024652,1.0487137619000313,0.11065270797976982,0.08502983334913813,0.3938567160589039
if,5.140672505001773,9.077638488381023,69.99902089338151,76.889683953002,1.0,98.85965611528084,95.03479152607422,0.4714983182303414,0.3000097910661849,0.9485932749499822,6.808874709247032,4.829390318186291,24.029907286956032,21.600198057156202,0.0,1.3097453827168375,3.270697190531444,0.21126887906452338,0.24029907286956032,0.0680887470924703
if_norm,7.253989235696553,9.108493114162552,68.65751949825237,75.50638466662159,1.0,98.75795828541554,94.83805831056088,0.46537627952368926,0.3134248050174763,0.9274601076430344,9.929680495978955,4.549189934038195,28.12905834727948,21.85628675654509,0.0,1.7374729206224497,3.851181891825815,0.22950491758960853,0.2812905834727948,0.09929680495978953
ocsvm,8.862045531252848,51.15078800138727,95.62229878183628,43.5642492505769,1.0,87.89506612240278,51.99160208304723,0.111317075108396,0.04377701218163723,0.9113795446874715,10.51324846794997,8.845416562660603,5.149733248558929,30.396595379308785,0.0,10.285088862060434,2.3131868367614583,0.07667424973724273,0.0514973324855893,0.10513248467949969
ocsvm_norm,1.6458333333333333,48.75344306388893,95.16315686760262,65.88597141774623,1.0,96.90960636319844,52.605989376703896,0.1324570786835354,0.04836843132397377,0.9835416666666668,4.219616857867911,9.347062414314323,6.0268955264682535,25.306701273938614,0.0,4.271200280299848,3.57012741879111,0.09264260803998622,0.060268955264682525,0.042196168578679125
dbscan,0.0,100.0,97.60828231901414,51.19585884049293,12.5,50.0,2.3917174339294434,0.0,0.023917176809858588,1.0,0.0,0.0,2.8773955025333557,1.438697751266676,1.525642883146823,0.0,2.8773954894467852,0.0,0.028773955025333572,0.0
