method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auprc,class_size_pred_error,auroc,tail_pred_acc,tail_pred_mcc,tail_pred_precision,tail_pred_recall,ratio_missing_tail_std,ratio_included_anomaly_std,ratio_included_head_std,auprc_std,class_size_pred_error_std,auroc_std,tail_pred_acc_std,tail_pred_mcc_std,tail_pred_precision_std,tail_pred_recall_std
acs-trim_min-none,0.0,18.824276357648227,70.91639407316022,76.57689581643682,0.8886666666666667,99.58214265087507,89.59026517346501,0.4639777911584689,0.2908360592683978,1.0,0.0,6.277443419580893,23.759910650879327,15.087665481043278,0.02030716505032037,0.4116326554792297,7.014454332300454,0.2418594075789755,0.23759910650879337,0.0
acs-trim_min-mode,0.0,8.860420906018733,34.52531670295868,74.96400409423708,0.226,99.51719253537011,98.11790055129677,0.7917666349114755,0.6547468329704133,1.0,0.0,4.865217164225856,20.68002751262443,16.54854627403989,0.05629006509652861,0.4742851660550127,2.417106284989852,0.1331800688832875,0.2068002751262443,0.0
acs-trim_min-mean,1.4814814814814814,4.5100366538611745,21.524858694353743,82.80210283460227,0.226,99.75841500036974,98.90580164268613,0.8690168038590539,0.7847514130564626,0.9851851851851853,3.9096197252722042,3.5398318145275005,17.07915684105446,13.00845622615249,0.05110213861893229,0.23542437796030474,1.6852074741635386,0.1029516288658616,0.1707915684105446,0.039096197252722044
acs-truncate_min-none,0.0,21.866476572257657,79.48520163487153,75.28321909898725,0.9599999999999999,99.55709736546584,87.19251370678346,0.38730504006418126,0.2051479836512847,1.0,0.0,6.690481177072145,15.609588804751786,13.872093012270867,0.008451542547285144,0.39592889287445565,4.027962624854131,0.17558080541565108,0.15609588804751787,0.0
acs-truncate_min-mode,0.0,11.3079610565974,47.518690202929996,75.03821957798401,0.5426666666666667,99.52692019092588,96.6977332578972,0.6883953359263487,0.5248130979707001,1.0,0.0,4.841628826417681,23.951706373949133,13.661837068402253,0.03514595418021957,0.44313302876107674,3.0008970868496663,0.19592851278204013,0.23951706373949133,0.0
acs-truncate_min-mean,2.222222222222222,6.905978170136608,33.861958827637025,80.05654686204372,0.5386666666666666,99.7246152872379,97.3723076377064,0.7734678015533379,0.6613804117236298,0.9777777777777777,4.9468069975388635,4.984634862860285,23.72744170897996,12.543851322637963,0.031592645316516905,0.2355586309755822,3.1723417639937024,0.18517627123066252,0.2372744170897996,0.04946806997538865
acs-half_min-none,0.0,18.252859228278044,70.18615969546407,78.0267726248217,0.8433333333333334,99.5989854012806,91.31842222064734,0.47306332500987014,0.2981384030453593,1.0,0.0,4.955208763477469,25.46418332090028,16.603895229604607,0.028949874578229833,0.41695070211609764,4.111397338856126,0.2424196353869238,0.25464183320900274,0.0
acs-half_min-mode,0.0,5.974052534939619,27.838967750635643,78.24045125555556,0.08,99.63859268686413,98.70967271272093,0.8389434524195253,0.7216103224936437,1.0,0.0,3.362702071097219,15.398440377937696,17.14805876633757,0.06600865744084526,0.3704509011033733,1.3416141001833308,0.0932360425402056,0.15398440377937694,0.0
acs-half_min-mean,0.0,3.3231465309287436,18.87146533069121,86.09356644842418,0.08266666666666667,99.82909437953982,98.96366661647335,0.8924469621159965,0.8112853466930879,1.0,0.0,2.4867681227906653,15.027229652966398,13.374451571131976,0.057627704977314356,0.19251523620050506,1.8293861443035515,0.09120967419159691,0.15027229652966398,0.0
lof,25.055151596247487,62.273632428809,88.12883354604371,60.277181642498384,1.0,82.94586594028644,84.96214270591736,0.2184382319024681,0.11871166453956304,0.7494484840375252,29.491187782785428,8.104269718544646,7.014708992814891,34.680462328387534,0.0,20.281171219312792,1.8244423365891178,0.07109842991805738,0.07014708992814886,0.2949118778278543
if,17.934964832225106,13.818770506352019,63.72535157484265,55.631980860230136,1.0,97.10578450993123,94.78939056396484,0.4815976420493005,0.3627464842515735,0.8206503516777489,13.701237009689853,5.67262828355351,24.408273018687073,23.530414330823096,0.0,1.6653182710655392,2.307702110444693,0.15564628587809043,0.2440827301868708,0.13701237009689854
ocsvm,6.7002442002441995,50.52494585885852,93.35795915994002,33.53706818386804,1.0,88.67199726172811,53.026317159334816,0.14823391745485298,0.06642040840059979,0.932997557997558,6.548864122792094,6.209780801542449,6.428506635595548,16.903907783166662,0.0,5.395031014654914,3.007697376980507,0.08709096014664128,0.06428506635595543,0.06548864122792095
dbscan,0.0,100.0,96.42274679989745,51.78862660005127,14.0,50.0,3.5772530237833657,0.0,0.03577253200102543,1.0,0.0,0.0,3.468898339612956,1.7344491698064777,0.0,0.0,3.468898423078766,0.0,0.034688983396129594,0.0
dbscan_elbow,0.0,100.0,96.42274679989745,51.78862660005127,0.9866666666666667,50.0,3.5772530237833657,0.0,0.03577253200102543,1.0,0.0,0.0,3.468898339612956,1.7344491698064777,0.004879500364742706,0.0,3.468898423078766,0.0,0.034688983396129594,0.0
