method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auprc,class_size_pred_error,auroc,tail_pred_acc,tail_pred_mcc,tail_pred_precision,tail_pred_recall,ratio_missing_tail_std,ratio_included_anomaly_std,ratio_included_head_std,auprc_std,class_size_pred_error_std,auroc_std,tail_pred_acc_std,tail_pred_mcc_std,tail_pred_precision_std,tail_pred_recall_std
acs-trim_min-none,0.0,16.395977117578802,50.19948108112568,77.02221033904323,0.882,99.22048024308518,91.75823859870434,0.670839551056886,0.4980051891887432,1.0,0.0,5.296144559752656,10.925239803522317,12.815423274007614,0.03271085446759228,0.5143461503226083,2.417039101862557,0.08242079534387657,0.10925239803522321,0.0
acs-trim_min-mode,0.0,13.133805848568255,32.76561800400613,75.08421987212287,0.26,99.08041882040932,95.72390507906675,0.7952691151731464,0.6723438199599387,1.0,0.0,4.285212714739709,19.785831905208283,12.854072067661477,0.07615773105863909,0.5608866717257365,3.0588727894760384,0.1321218955314081,0.19785831905208284,0.0
acs-trim_min-mean,0.0,7.14145187148259,23.499967938019648,83.55282640771992,0.252,99.60888564117253,97.38601702265441,0.8579523795500676,0.7650003206198035,1.0,0.0,4.468861558274684,18.730050283953886,9.593339235921656,0.0752994023880668,0.3069926492329812,2.3357554687001363,0.11773622749577856,0.18730050283953886,0.0
acs-truncate_min-none,0.0,23.688359436581308,65.44580432203728,77.27740762012176,0.9559999999999998,99.21932427455316,84.82286304235458,0.5363566682082606,0.34554195677962724,1.0,0.0,9.092626130455239,3.9337278341292277,12.724928802792746,0.01341640786499875,0.5065409879196799,2.235156813333375,0.031208674804750265,0.039337278341292296,0.0
acs-truncate_min-mode,0.0,14.780737060716856,42.20003431106572,75.7089636196748,0.562,99.10460543474915,94.04632154852152,0.7322711625742953,0.5779996568893428,1.0,0.0,4.413088968896253,13.314397283584611,12.989435130997895,0.05019960159204451,0.5313992102131603,1.9784396368866175,0.09133284894534568,0.1331439728358461,0.0
acs-truncate_min-mean,0.0,11.089856327947624,38.53293482218716,83.2307989321225,0.55,99.57325249551434,94.84159860759974,0.7588610225382524,0.6146706517781284,1.0,0.0,6.099762168405685,13.688588584532095,9.791458990363731,0.05049752469181039,0.3196102468224656,2.1066213514239993,0.09203804065309067,0.13688588584532096,0.0
acs-half_min-none,0.0,16.131856422981095,46.4668831926986,76.02868097708352,0.836,99.22533420143105,92.3378012701869,0.6944699540829042,0.535331168073014,1.0,0.0,4.97126017239827,18.589358671740122,13.208632406855523,0.0477493455452533,0.5041184279147194,4.073605703813021,0.13651274273178296,0.18589358671740122,0.0
acs-half_min-mode,0.0,8.13023377321689,27.182765543371733,77.5613015981422,0.118,99.33983744295932,97.02994337305427,0.8384499125742325,0.7281723445662827,1.0,0.0,4.173559249333335,8.851688229262722,13.11195513807726,0.0887130204648675,0.4771679391930936,0.9458374299299885,0.053659432040050484,0.08851688229262723,0.0
acs-half_min-mean,0.0,5.129031176906116,23.51166688549343,89.87514518929049,0.11000000000000001,99.76749887620109,97.32361513189971,0.8570823511033101,0.7648833311450657,1.0,0.0,3.0964877043584336,19.988355343989834,10.946888420900574,0.08276472678623424,0.2755629523803014,2.5734880880844035,0.12545912312331545,0.19988355343989833,0.0
lof,66.00792130244186,61.80064191374667,81.93696829956103,20.5959539964987,1.0,55.983518800422175,82.32360184192657,0.15517506842781534,0.18063031700438964,0.3399207869755815,5.897968803220378,8.616387070632955,4.261418642749458,5.851668870990874,0.0,5.557973001012221,1.3054278256163199,0.048578461033130904,0.04261418642749458,0.058979688032203825
lof_norm,63.447228570516245,61.786549910799536,80.4527342870381,20.25735808406861,1.0,55.24377322457568,82.77238130569458,0.17722548875767846,0.1954726571296191,0.36552771429483755,2.966905301557606,8.64268140189564,4.238150346570315,3.1074897132557724,0.0,4.894089005612359,0.6456240350698654,0.029473158278446054,0.04238150346570317,0.02966905301557612
if,29.360450052230874,9.263038034866174,39.69291561833734,61.3598442646339,1.0,95.6928988415589,92.75009416043758,0.5976566407128778,0.6030708438166267,0.7063954994776912,18.072625030020266,2.9419818298554974,19.98815666086196,20.143307271993482,0.0,1.634081533837032,2.14295035386647,0.039333530941758836,0.19988156660861964,0.18072625030020265
if_norm,31.4484670580561,6.019447525247662,27.357610172123778,79.91479962466755,1.0,97.96262673878478,93.85896060615778,0.6469274263733432,0.7264238982787623,0.685515329419439,21.731836940269883,5.071594965692657,27.26558377570168,14.663197998210718,0.0,1.5371722246576158,3.190292027674788,0.13039149466330138,0.2726558377570168,0.21731836940269883
ocsvm,6.767399267399267,46.53824202961842,85.043985000699,38.85367918178302,1.0,86.64908848226914,56.84731662273407,0.2537621495225259,0.14956014999300998,0.9323260073260073,8.495064443524626,4.44447804536473,3.0846164178094453,16.801129448988583,0.0,7.219978274295751,1.7442272921701958,0.05316719944169871,0.0308461641780945,0.08495064443524625
ocsvm_norm,2.73972602739726,40.54556322190645,84.04910262918608,51.627167306065225,1.0,91.08971524473375,58.56258809566498,0.2836461650768304,0.1595089737081392,0.9726027397260275,6.1262136369857245,5.0777527696222595,3.1032621865122034,7.095343735651793,0.0,7.078915035260231,2.7165590027689794,0.03947448000212825,0.031032621865122036,0.06126213636985725
dbscan,0.0,100.0,91.94018917849493,54.029905410752534,14.0,50.0,8.059810400009155,0.0,0.08059810821505067,1.0,0.0,0.0,1.6875104412487183,0.8437552206243605,0.0,0.0,1.6875118663254423,0.0,0.016875104412487178,0.0
dbscan_norm,85.82327717944156,12.01602797282295,48.759388759388756,36.18138064841817,0.046,56.44525494844949,91.87331430613995,0.23569670953177643,0.5124061124061124,0.14176722820558435,6.965589920052669,8.269544459880263,25.89916373856391,15.313410539477143,0.01816590212458495,3.6909250430075864,2.038035920168751,0.12860057625601845,0.25899163738563913,0.0696558992005267
dbscan_elbow,0.0,100.0,91.94018917849493,54.029905410752534,0.9800000000000001,50.0,8.059810400009155,0.0,0.08059810821505067,1.0,0.0,0.0,1.6875104412487183,0.8437552206243605,0.0,0.0,1.6875118663254423,0.0,0.016875104412487178,0.0
dbscan_elbow_norm,0.0,100.0,91.94018917849493,54.029905410752534,0.9800000000000001,50.0,8.059810400009155,0.0,0.08059810821505067,1.0,0.0,0.0,1.6875104412487183,0.8437552206243605,0.0,0.0,1.6875118663254423,0.0,0.016875104412487178,0.0
kmeans,28.73972602739726,54.770571026936274,89.64841945942764,21.61891893128188,4.432,57.60194808397024,45.84363341331482,0.09132549526327348,0.10351580540572362,0.7126027397260274,41.706693728287405,3.1810808961253514,6.598188299569556,20.860625897368365,0.5959194576450748,24.738397552793874,6.597971612501256,0.23605354310751164,0.06598188299569555,0.41706693728287403
kmeans_norm,28.73972602739726,54.770571026936274,89.64841945942764,21.61891893128188,4.432,57.60194808397024,45.84363341331482,0.09132549526327348,0.10351580540572362,0.7126027397260274,41.706693728287405,3.1810808961253514,6.598188299569556,20.860625897368365,0.5959194576450748,24.738397552793874,6.597971612501256,0.23605354310751164,0.06598188299569555,0.41706693728287403
gmm,0.0,100.0,91.94018917849493,54.029905410752534,14.0,50.0,8.059810400009155,0.0,0.08059810821505067,1.0,0.0,0.0,1.6875104412487183,0.8437552206243605,0.0,0.0,1.6875118663254423,0.0,0.016875104412487178,0.0
gmm_norm,0.0,100.0,91.94018917849493,54.029905410752534,14.0,50.0,8.059810400009155,0.0,0.08059810821505067,1.0,0.0,0.0,1.6875104412487183,0.8437552206243605,0.0,0.0,1.6875118663254423,0.0,0.016875104412487178,0.0
kde,0.0,100.0,91.74518484227397,54.43381573573542,1.0,54.823345392506255,10.648915767669678,0.034719825976951044,0.08254815157726028,1.0,0.0,0.0,1.562508760842434,0.715468995678343,0.0,6.319731203831299,2.9201559892326316,0.03341739278869071,0.015625087608424255,0.0
kde_norm,0.0,42.9997242468573,78.1780677443321,68.03030359977086,1.0,95.90130047995807,67.6494488120079,0.3739029704166065,0.218219322556679,1.0,0.0,28.45982308253925,7.602273720648942,15.168881365751208,0.0,1.7480944009409431,16.114447639815033,0.11116121749837514,0.07602273720648937,0.0
affprop,10.053964300539644,9.111195812279664,54.379963780302,91.43008565506541,0.394,98.60184167287109,90.34979596734047,0.5950771662007182,0.45620036219698,0.8994603569946035,13.781414572814791,3.6851338782824086,7.4837969774247926,12.113238050380257,0.11674759098157016,2.044466081112866,2.178988429745812,0.06843708560563985,0.07483796977424793,0.13781414572814793
affprop_norm,10.053964300539644,9.68662658195915,49.98573606890758,84.85707860670281,0.43,98.00442731890868,91.90952077507973,0.63130511304269,0.5001426393109243,0.8994603569946035,13.781414572814791,4.481616145501327,4.169770885341874,10.704287778725673,0.0761577310586391,2.3111963601325973,0.9990859632085497,0.04663074086303995,0.04169770885341879,0.13781414572814793
knnod,42.972536595824266,22.868015039112883,54.599268068231176,59.910115952968184,1.0,85.06203584934416,91.02207481861115,0.4588748735440708,0.45400731931768823,0.5702746340417573,16.660315648939974,9.076060088450449,14.370706232357831,14.646305536765345,0.0,7.198763488589824,2.636386563651998,0.15861822120992441,0.14370706232357836,0.16660315648939975
knnod_norm,45.71162399244591,26.484080467586715,56.92194032515768,57.30850870454557,1.0,81.12484691478308,90.55702552199364,0.4311776131218202,0.43078059674842323,0.5428837600755408,17.013539490933418,9.30767609543714,13.761861065883304,13.915007239275479,0.0,10.164947506088424,2.665175186217738,0.15799883598895637,0.13761861065883302,0.1701353949093342
