method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auprc,class_size_pred_error,auroc,tail_pred_acc,tail_pred_mcc,tail_pred_precision,tail_pred_recall,ratio_missing_tail_std,ratio_included_anomaly_std,ratio_included_head_std,auprc_std,class_size_pred_error_std,auroc_std,tail_pred_acc_std,tail_pred_mcc_std,tail_pred_precision_std,tail_pred_recall_std
acs-trim_min-none,0.0,21.99394316625171,79.71650290448768,61.43095140204299,0.892,99.53774068061804,90.6053077429533,0.4234233771792358,0.20283497095512315,1.0,0.0,3.9112439033446633,7.432086076847082,15.793110366952146,0.010954451150103338,0.22391687699587892,3.7534046672953068,0.08901515040946044,0.07432086076847079,0.0
acs-trim_min-mode,0.0,10.75668676445591,33.64120156572987,59.63555479656857,0.20400000000000001,99.48996008684999,98.84326970204711,0.8081114321565483,0.6635879843427013,1.0,0.0,3.8189483085538507,10.030027898922274,15.60029643129706,0.03646916505762095,0.24425280588260415,0.5508743988605823,0.06260350772372167,0.10030027898922271,0.0
acs-trim_min-mean,0.0,5.083285005316082,17.14210157890643,69.48465008305905,0.21200000000000002,99.66139949817226,99.54825840424746,0.9077715148245364,0.8285789842109358,1.0,0.0,1.9663513733754272,5.646044400266774,20.638942380482124,0.035637059362410926,0.2241262725360359,0.1753592203924329,0.03128440073256874,0.056460444002667746,0.0
acs-truncate_min-none,0.0,21.526931204234202,74.42669593499252,60.48375265031302,0.962,99.4979333979247,90.36521267145872,0.4641955832044653,0.25573304065007474,1.0,0.0,7.273391721121344,16.735663634735364,15.459127890114702,0.004472135954999583,0.22552763800664433,7.241328802507642,0.17348983026085363,0.1673566363473536,0.0
acs-truncate_min-mode,0.0,13.19028573523579,38.37912087912088,59.570666906438646,0.532,99.48546920944746,98.63934738561511,0.7786058368597665,0.6162087912087912,1.0,0.0,2.4822177073049683,6.956403899771868,15.334200130033793,0.023874672772626615,0.2275279067771382,0.4159474781934007,0.04523813015736879,0.06956403899771867,0.0
acs-truncate_min-mean,0.0,8.349108264757543,29.448658649398702,65.16820486506468,0.534,99.5976923037795,98.54982644319534,0.8237575530179543,0.705513413506013,1.0,0.0,5.937941389058494,22.644443427160738,17.621397939967004,0.02302172886644267,0.22851745456281408,2.090530246502521,0.15925930936243196,0.22644443427160732,0.0
acs-half_min-none,0.0,18.213329033806282,66.293651204397,61.27609057095644,0.8480000000000001,99.53998338463188,94.29211284965277,0.5477531454949289,0.33706348795603003,1.0,0.0,6.101685605429155,20.576485575059813,16.201159635693784,0.019235384061671364,0.227417532123624,3.3128529474029467,0.16803527041153252,0.2057648557505981,0.0
acs-half_min-mode,0.0,9.201740308566057,28.386199095022626,58.440635176298805,0.05600000000000001,99.46495999664273,99.06525949016213,0.8400056068581531,0.7161380090497738,1.0,0.0,4.42379061655787,12.051747486703412,14.844052119366745,0.043931765272977596,0.2326966727055557,0.5829170702949701,0.0727869108152705,0.12051747486703412,0.0
acs-half_min-mean,0.0,4.864847366789653,16.30844553243574,67.9289689902705,0.068,99.65785703953388,99.56768282689154,0.9123247435721471,0.8369155446756427,1.0,0.0,2.238237777439741,6.381260947023989,19.802821382759834,0.044384682042344296,0.21162897139202783,0.1992020861492011,0.03504382253633886,0.06381260947023988,0.0
lof,11.666666666666666,62.19082650908399,87.54828068504582,61.00138348325496,1.0,94.96851464285999,86.600082218647,0.3014480377984899,0.12451719314954177,0.8833333333333334,14.619663741045297,3.5336444725162766,2.039959275288155,27.40858617760133,0.0,6.2970713627112795,0.591211190033186,0.057279338350284925,0.020399592752881585,0.146196637410453
lof_norm,30.0,63.953029333439986,90.01330128885115,47.85006718471999,1.0,82.91752303007732,85.85986793041229,0.22783609569090188,0.09986698711148843,0.7,18.257418583505537,7.767805977522584,3.047378847735317,22.872514374007753,0.0,16.0825733750304,0.8002176860615113,0.0797759985133664,0.030473788477353193,0.1825741858350553
if,15.0,17.004572830321997,65.10203081488615,72.32953291288226,1.0,97.87855168652794,96.10551670193672,0.5280861756848031,0.3489796918511384,0.85,6.972166887783964,5.2225058930049,8.259301937562466,9.132127809502965,0.0,1.436197623485005,1.27489606609521,0.07797810371444401,0.08259301937562469,0.06972166887783961
if_norm,6.666666666666666,13.022978305719704,42.52656686006465,82.75534111546555,1.0,99.49765985540571,98.29372879117727,0.7223204726991115,0.5747343313993535,0.9333333333333332,6.394924685122966,4.395297144110729,10.260746636217352,6.243557908872361,0.0,0.3853196231604426,0.6173330021435729,0.06383262870452149,0.1026074663621735,0.06394924685122964
ocsvm,5.555555555555556,51.63071645452334,95.99362910885426,39.565034137989514,1.0,89.8856781762056,51.858094930648804,0.13060519840124923,0.04006370891145733,0.9444444444444444,8.098544298396252,4.075032043078775,0.44823819088691413,15.77594480239522,0.0,5.894719428906007,0.4328786028405896,0.02360479982631435,0.004482381908869184,0.08098544298396249
ocsvm_norm,0.0,45.999135095139536,95.73742013525703,78.53158420724628,1.0,97.36997032417484,52.26939141750336,0.14767090663674595,0.04262579864742976,1.0,0.0,8.552916763573695,0.38395120648946185,8.4950372437509,0.0,1.7762133032858756,0.563661106892593,0.007113835493143609,0.003839512064894635,0.0
dbscan,0.0,100.0,97.8754188036427,51.06229059817865,14.0,50.0,2.1245813369750977,0.0,0.021245811963572912,1.0,0.0,0.0,0.18570844674308448,0.09285422337154224,0.0,0.0,0.1857095930201436,0.0,0.0018570844674308106,0.0
dbscan_norm,0.0,11.991310122553186,33.78757322685563,83.1062133865722,0.294,99.44306669319444,98.90979719348252,0.8087686507424602,0.6621242677314437,1.0,0.0,2.1951652999788784,4.716749653332839,2.358374826666415,0.03507135583350038,0.09911381309447784,0.1943283654460415,0.02981527832548363,0.04716749653332837,0.0
dbscan_elbow,0.0,100.0,97.8754188036427,51.06229059817865,0.99,50.0,2.1245813369750977,0.0,0.021245811963572912,1.0,0.0,0.0,0.18570844674308448,0.09285422337154224,0.0,0.0,0.1857095930201436,0.0,0.0018570844674308106,0.0
dbscan_elbow_norm,0.0,100.0,97.8754188036427,51.06229059817865,0.99,50.0,2.1245813369750977,0.0,0.021245811963572912,1.0,0.0,0.0,0.18570844674308448,0.09285422337154224,0.0,0.0,0.1857095930201436,0.0,0.0018570844674308106,0.0
