method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auprc,class_size_pred_error,auroc,tail_pred_acc,tail_pred_mcc,tail_pred_precision,tail_pred_recall,ratio_missing_tail_std,ratio_included_anomaly_std,ratio_included_head_std,auprc_std,class_size_pred_error_std,auroc_std,tail_pred_acc_std,tail_pred_mcc_std,tail_pred_precision_std,tail_pred_recall_std
acs-trim_min-none,0.40476190476190477,10.478601216395328,76.54638692747277,87.81594263778805,0.8133333333333332,99.79808999223395,89.5884554212292,0.3820083485870936,0.23453613072527224,0.995952380952381,1.0871857196981785,6.189512604976383,32.62913740672579,17.1984861604141,0.031547394428670245,0.3897531515475897,6.30344822793022,0.289197023755387,0.3262913740672579,0.010871857196981787
acs-trim_min-mode,0.23809523809523808,2.0274568185274795,28.764567714946132,88.39460022265403,0.168,99.93632911110915,97.73595656258597,0.8115441015841481,0.7123543228505387,0.9976190476190477,0.9221388919541469,2.2412283227018115,31.157019228531855,16.726485822540454,0.03707135975771208,0.18703680430655226,3.5325258324831634,0.2192382367287304,0.3115701922853185,0.009221388919541464
acs-trim_min-mean,5.809523809523809,1.4205077815310898,23.03064038814987,92.70334997339442,0.21133333333333332,98.92270928896743,98.35761263500899,0.8221133650765716,0.7696935961185013,0.9419047619047619,8.710046922693907,1.963039197869989,30.40459567927135,12.5892804888023,0.084588640462169,3.673188724071685,2.4065989069799536,0.18640442166327584,0.3040459567927135,0.08710046922693908
acs-truncate_min-none,0.40476190476190477,18.455828644381658,93.37153866107775,87.26655150749654,0.9339999999999999,99.78325476106744,81.88741063078244,0.20556350788121555,0.06628461338922251,0.995952380952381,1.0871857196981785,6.082810718058137,6.488182398762549,17.489157123344192,0.012421180068162356,0.43449705922877485,5.210428059149839,0.11653166412790476,0.06488182398762554,0.010871857196981787
acs-truncate_min-mode,2.142857142857143,4.621056183447745,37.52647472232365,87.53256453700665,0.49133333333333334,99.90725364356311,95.28697517380351,0.7146516350253618,0.6247352527767636,0.9785714285714285,7.368873153012576,5.685081641601075,38.52711582506516,16.986766206283296,0.030674947122242648,0.22123275726478103,6.36985312750038,0.3018960382059549,0.38527115825065156,0.07368873153012574
acs-truncate_min-mean,4.309523809523809,5.366929580721349,48.878767777365994,90.85307020119461,0.48133333333333334,99.79184096556378,94.69270133335765,0.6016418215807703,0.51121232222634,0.9569047619047618,7.4285550758585055,5.433323097513063,41.915596963652426,14.293839701255918,0.043402874603066605,0.548726475623599,5.260841409352873,0.3322062811472794,0.4191559696365242,0.07428555075858505
acs-half_min-none,0.6428571428571428,12.87341114066142,79.06006243868404,88.67137149795082,0.7433333333333334,99.80452101882743,88.26017911235492,0.35231983363219543,0.20939937561315958,0.9935714285714285,1.3512223167455222,8.86966782456677,32.64551114747855,17.65912949258364,0.04117326918327106,0.3847562594452155,7.294827563690502,0.281737516889715,0.3264551114747855,0.013512223167455215
acs-half_min-mode,6.928571428571428,2.375386630857996,26.873517534437077,86.19950362865373,0.17933333333333332,95.01290762276771,96.85983124693546,0.7763252907432808,0.7312648246556293,0.9307142857142857,8.373349017026158,3.6811760316482562,36.480265415458064,14.034172711076879,0.14493676782192524,7.363114800555353,4.716073621521545,0.24346954980164096,0.3648026541545807,0.0837334901702616
acs-half_min-mean,7.8809523809523805,2.1811749019928017,24.054493132660927,90.48593866568953,0.2326666666666667,96.95891398050894,97.48666308975469,0.7937780894747486,0.7594550686733907,0.9211904761904762,9.37016801294752,3.5143879391632424,35.10595854936067,9.403721411654558,0.15011741436368434,4.924141880200734,3.905245892562158,0.22582889453952554,0.3510595854936068,0.09370168012947519
lof,37.35414246999613,54.16555375268324,97.36868384190603,53.29056523298581,1.0,71.70854540901479,84.54355895519257,0.0812810194899257,0.02631316158093962,0.6264585753000387,39.768762861341806,9.041709723818526,1.946117705457889,42.20542968905579,0.0,30.16469054610937,1.0336813182731435,0.07082406801698334,0.019461177054578935,0.39768762861341805
lof_norm,38.68747580332946,55.38468707686776,97.36930306189142,50.44323712207563,1.0,70.52094531614928,84.54345057408015,0.07909901405102435,0.026306969381085947,0.6131252419667054,38.975544081167655,7.659960703100899,2.079276064730609,41.06757846954204,0.0,30.06593669146864,0.9829370714721226,0.06684114101480826,0.02079276064730612,0.38975544081167657
if,5.6889276035617495,9.182827828679457,80.95770037572687,73.72415713798449,1.0,98.90581492928544,94.7827230207622,0.368751276867254,0.19042299624273137,0.9431107239643826,11.295443669590238,3.9583802905872116,15.121879376944122,20.931812086745563,0.0,1.7874866855555773,2.4730911700307967,0.17246443686208365,0.1512187937694412,0.1129544366959024
if_norm,2.955768486256291,9.852066808201158,82.63241460717673,80.44552935310784,1.0,99.19948732878633,94.09987937038143,0.3616842235677067,0.17367585392823276,0.9704423151374371,4.770875105030186,3.061653175302499,13.480041324939844,19.804659433553198,0.0,1.286837068471086,3.400032555964692,0.15968893087810654,0.13480041324939854,0.04770875105030186
ocsvm,5.817073170731707,55.78779192893762,97.69513801576919,44.694603408232325,1.0,91.52171530553325,51.08342409133911,0.08711585047569145,0.02304861984230806,0.9418292682926829,6.573079982801495,7.762204677468127,2.300321485158066,26.532943131017817,0.0,5.976408534757791,1.0973324467895744,0.04935614527112836,0.023003214851580668,0.06573079982801498
ocsvm_norm,1.1984126984126984,49.348659100664165,97.56420676007275,72.32058149767059,1.0,96.27384077763227,51.372172037760414,0.09602828886292933,0.024357932399272388,0.988015873015873,2.740854372427349,7.566715205335445,2.475857025108241,23.349232420767137,0.0,4.619690427981799,1.6819657123891978,0.054568590415046025,0.024758570251082523,0.0274085437242735
dbscan,0.0,100.0,98.7730847229494,50.6134576385253,11.0,50.0,1.2269155184427898,0.0,0.012269152770505951,1.0,0.0,0.0,1.232743792697473,0.6163718963487359,0.0,0.0,1.2327441205597125,0.0,0.01232743792697465,0.0
dbscan_norm,33.333333333333336,0.41611014384736084,10.216042516376222,78.68831211542182,0.5486666666666667,83.32342384180856,99.05434414492144,0.6475975957697037,0.6311729081695712,0.6666666666666666,48.795003647426654,0.5794955991317339,26.04441979197629,30.069049691739682,0.5536614058980023,24.393693527925993,1.410751668192678,0.47619741419214445,0.46795042894094463,0.4879500364742666
dbscan_elbow,0.0,100.0,98.7730847229494,50.6134576385253,0.9966666666666666,50.0,1.2269155184427898,0.0,0.012269152770505951,1.0,0.0,0.0,1.232743792697473,0.6163718963487359,0.004879500364742706,0.0,1.2327441205597125,0.0,0.01232743792697465,0.0
dbscan_elbow_norm,0.0,100.0,98.7730847229494,50.6134576385253,0.9966666666666666,50.0,1.2269155184427898,0.0,0.012269152770505951,1.0,0.0,0.0,1.232743792697473,0.6163718963487359,0.004879500364742706,0.0,1.2327441205597125,0.0,0.01232743792697465,0.0
kmeans,30.481513743708867,43.97742975719775,98.06791070719008,21.419737580714642,3.2093333333333334,63.10266664016193,55.175079107284546,0.05062535116140299,0.019320892928099236,0.6951848625629113,30.015428083158493,9.647649635116794,2.0673343261311983,17.384884768398006,0.5979544496109414,18.069406531370298,9.184857236044476,0.07739017542264193,0.020673343261312038,0.30015428083158496
kmeans_norm,30.481513743708867,43.97742975719775,98.06791070719008,21.419737580714642,3.2093333333333334,63.10266664016193,55.175079107284546,0.05062535116140299,0.019320892928099236,0.6951848625629113,30.015428083158493,9.647649635116794,2.0673343261311983,17.384884768398006,0.5979544496109414,18.069406531370298,9.184857236044476,0.07739017542264193,0.020673343261312038,0.30015428083158496
gmm,0.0,100.0,98.7730847229494,50.6134576385253,11.0,50.0,1.2269155184427898,0.0,0.012269152770505951,1.0,0.0,0.0,1.232743792697473,0.6163718963487359,0.0,0.0,1.2327441205597125,0.0,0.01232743792697465,0.0
gmm_norm,0.0,100.0,98.7730847229494,50.6134576385253,11.0,50.0,1.2269155184427898,0.0,0.012269152770505951,1.0,0.0,0.0,1.232743792697473,0.6163718963487359,0.0,0.0,1.2327441205597125,0.0,0.01232743792697465,0.0
kde,20.0,79.92592592592592,79.07921594339673,50.61431463676034,1.0,50.08627505282096,20.74042132201915,0.0023510440359649286,0.009207840566032648,0.8,41.403933560541255,41.36657365117227,40.93983513649629,0.6169556192491036,0.0,0.046831228209422364,40.24336416511812,0.0024866100709337205,0.011164947703449118,0.4140393356054125
kde_norm,4.285714285714286,21.574259946075998,91.01970715111533,69.62498868166395,1.0,97.27942758653128,81.58334830154975,0.2367978354479102,0.08980292848884681,0.9571428571428572,8.451542547285165,15.405740675348849,9.121937395852887,23.049740891424207,0.0,2.5825723066053907,14.728586231516799,0.1436211074292533,0.0912193739585288,0.08451542547285161
affprop,13.333333333333334,14.374458445816467,91.3162181075373,78.00218878209013,0.7853333333333334,93.05301667511549,87.55325183272362,0.22899442790648228,0.086837818924627,0.8666666666666667,25.59306271407335,6.522729881311098,9.075352770152689,32.70645561605288,0.17074905005661992,14.286666012580053,2.413545417891492,0.15765754698861756,0.09075352770152682,0.2559306271407335
affprop_norm,9.523809523809522,11.89881771469646,78.75434407516563,77.86974443156954,0.792,93.135858073899,89.02686035144143,0.3375561681837748,0.21245655924834358,0.9047619047619048,18.442777839082936,8.884137168062392,32.653683794378175,30.865436039145226,0.16669904447408032,14.110500989919517,4.787144646183028,0.3079655561415327,0.3265368379437818,0.18442777839082938
