method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auprc,class_size_pred_error,auroc,tail_pred_acc,tail_pred_mcc,tail_pred_precision,tail_pred_recall,ratio_missing_tail_std,ratio_included_anomaly_std,ratio_included_head_std,auprc_std,class_size_pred_error_std,auroc_std,tail_pred_acc_std,tail_pred_mcc_std,tail_pred_precision_std,tail_pred_recall_std
acs-trim_min-none,0.0,10.888969521044993,81.74317307387423,91.00980696640738,0.812,99.95132574110727,87.28872507810593,0.3953419040966716,0.1825682692612577,1.0,0.0,4.588845180383215,5.6149306532299565,8.198290753533497,0.004472135954999528,0.044815725222870466,2.9317057365143127,0.06281109797260706,0.05614930653229959,0.0
acs-trim_min-mode,0.0,6.295355587808418,73.72399560781807,90.00277767843662,0.152,99.94367926648468,92.28787362575531,0.4916305263938499,0.26276004392181934,1.0,0.0,1.5898023144372837,1.110040782759769,9.128781952329279,0.004472135954999585,0.0514139396810444,1.7378405410297304,0.005716416519419955,0.011100407827597721,0.0
acs-trim_min-mean,0.0,5.156023222060957,72.14514562646764,95.15295419699513,0.152,99.97188801119555,92.42586612701416,0.5016971401426008,0.27854854373532356,1.0,0.0,2.2900359224039426,9.622149718213706,6.637090887579531,0.004472135954999583,0.04186193617143329,2.514870382212313,0.09137977756142103,0.09622149718213703,0.0
acs-truncate_min-none,0.0,15.446298984034835,84.06412089731269,91.18828481191835,0.932,99.95142332112287,85.16209915280342,0.3658936345286046,0.15935879102687303,1.0,0.0,5.11735823543265,3.3317696263769614,8.01130770538614,0.004472135954999528,0.04492469816848496,3.5166258891288984,0.04415124801336208,0.03331769626376959,0.0
acs-truncate_min-mode,0.0,8.795355587808418,79.18739435054039,89.9285312626986,0.5,99.94202040621926,89.40415665507317,0.42732441057612514,0.2081260564945962,1.0,0.0,2.7157477713211975,6.068687599174021,9.03353843735745,0.0,0.049229886380701623,0.9005743948904561,0.06378925653559664,0.06068687599174022,0.0
acs-truncate_min-mean,0.0,7.656023222060957,76.8340963836515,93.09483069762712,0.49399999999999994,99.96248509629191,90.25160700082779,0.449874709351212,0.231659036163485,1.0,0.0,3.298371108768356,9.843641624402995,6.624980987216116,0.005477225575051669,0.03916196046159161,2.3406621116745754,0.0992811919446061,0.09843641624402998,0.0
acs-half_min-none,0.0,15.431785195936138,84.5037320030279,90.99678345007881,0.74,99.95122816109165,84.64236542582512,0.35991969140714275,0.15496267996972105,1.0,0.0,7.139765936879935,2.940830920902544,8.189669684539718,0.007071067811865481,0.04470755157205186,3.8648384512805487,0.040773815960829386,0.02940830920902549,0.0
acs-half_min-mode,0.0,7.841074020319303,77.33636713068594,96.62244349352645,0.008,99.97934014989612,90.38770824670792,0.44910850628943716,0.22663632869314068,1.0,0.0,2.535418738027278,5.776733482812549,7.3287397767470015,0.013038404810405297,0.04121064370525916,1.9349625639477717,0.06221420737434417,0.057767334828125516,0.0
acs-half_min-mean,0.0,5.932510885341074,74.01560426732946,99.71122168840083,0.026000000000000002,99.97474275023386,91.42863273620605,0.4797510606360446,0.2598439573267053,1.0,0.0,3.0848735666775697,10.922124202530354,0.6457279351633742,0.034351128074635334,0.05647692740176975,2.91944810497421,0.1064843820343181,0.10922124202530349,0.0
lof,83.5630081300813,51.30986937590711,96.69502809424465,7.971437701683554,1.0,38.02673621459108,83.17762732505798,0.010039801992558975,0.03304971905755347,0.164369918699187,8.819600222785693,7.091193782381868,2.4841770951604394,9.498606179050409,0.0,7.287366976132339,0.38919766521498966,0.043849809156832356,0.024841770951604395,0.0881960022278569
