method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auprc,class_size_pred_error,auroc,tail_pred_acc,tail_pred_mcc,tail_pred_precision,tail_pred_recall,ratio_missing_tail_std,ratio_included_anomaly_std,ratio_included_head_std,auprc_std,class_size_pred_error_std,auroc_std,tail_pred_acc_std,tail_pred_mcc_std,tail_pred_precision_std,tail_pred_recall_std
acs-trim_min-none,0.0,6.732673267326733,59.14846490111049,97.5,0.826,99.9953095674484,93.1545552611351,0.4672609567263123,0.4085153509888951,1.0,0.0,6.159339015839917,53.99493540752577,3.4232659844072884,0.028809720581775836,0.006422640459913735,6.262426783908002,0.4863268000283809,0.5399493540752578,0.0
acs-trim_min-mode,0.0,0.520263206444868,11.0,96.91326530612244,0.182,99.99405054445023,99.97540125070373,0.9413894311848374,0.89,1.0,0.0,0.6089250136452206,12.323757543866238,3.126171167460802,0.049699094559156706,0.0058662252677818315,0.028810255085891964,0.0670350787753429,0.12323757543866241,0.0
acs-trim_min-mean,2.8571428571428568,0.19801980198019803,4.444444444444445,97.14721403699265,0.22600000000000003,97.143528306319,99.98593969270587,0.9614843063557004,0.9555555555555555,0.9714285714285713,6.388765649999399,0.44278573811877026,9.938079899999064,6.379023338541632,0.10644247272588137,6.387264882874664,0.020954753575754586,0.054986347839303215,0.09938079899999068,0.063887656499994
acs-truncate_min-none,0.0,18.449049873931493,99.06556309535897,96.52777777777779,0.9400000000000001,99.99296325116497,79.76697534322739,0.08603473648006671,0.009344369046410343,1.0,0.0,5.311128322567348,0.23171061541813331,5.055631867555918,0.012247448713915874,0.010491816648238424,5.882622267531667,0.013782878493670152,0.0023171061541813072,0.0
acs-truncate_min-mode,5.7142857142857135,4.24697128097903,28.28978978978979,95.49603174603175,0.506,99.99044520516865,96.11460955260554,0.7417331763249198,0.7171021021021021,0.9428571428571428,12.777531299998797,8.411432463362775,41.36902061431123,4.682497645762351,0.04393176527297763,0.00987339109425523,8.602898308143692,0.3693942394411255,0.41369020614311236,0.12777531299998796
acs-truncate_min-mean,0.0,8.014882233564972,66.13802250045981,97.77777777777779,0.48200000000000004,99.99530736743313,93.76104111317545,0.43738439425286685,0.3386197749954019,1.0,0.0,7.099882468495846,45.627477281232515,4.969039949999536,0.06648308055437865,0.010493045412945093,6.074342122998752,0.4272979407764503,0.4562747728123251,0.0
acs-half_min-none,0.0,6.732673267326733,59.12560637560638,100.0,0.758,100.0,93.34686845541,0.46829099187382955,0.4087439362439362,1.0,0.0,6.159339015839917,53.974047244343915,0.0,0.03701351104664352,0.0,6.073452697925902,0.48538169888803906,0.5397404724434391,0.0
acs-half_min-mode,11.428571428571427,0.09900990099009901,2.5,88.5938813695719,0.25,89.36503273459796,99.9730481998995,0.9263213038378444,0.975,0.8857142857142858,11.952286093343936,0.22139286905938513,5.590169943749474,11.926656798136486,0.2115419580130618,10.582748872725285,0.02097684924083653,0.055087353196675674,0.055901699437494734,0.11952286093343939
acs-half_min-mean,11.428571428571427,0.0,0.0,88.60812097940482,0.298,93.01539993241914,99.97773313778453,0.9392603835658433,1.0,0.8857142857142858,11.952286093343936,0.0,0.0,11.911278995485137,0.17739785793520735,7.156281904259065,0.02431218120767703,0.0645159236964162,0.0,0.11952286093343939
lof,0.0,53.95855113461656,98.79809054387029,95.984693877551,1.0,99.99598151496886,85.1722976565361,0.10100845734609079,0.012019094561297072,1.0,0.0,6.380468529452745,0.1496656704042882,8.978497440267004,0.0,0.008985605696197765,0.023743094124852822,0.0062497954485466545,0.0014966567040428527,0.0
