method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auprc,class_size_pred_error,auroc,tail_pred_acc,tail_pred_mcc,tail_pred_precision,tail_pred_recall,ratio_missing_tail_std,ratio_included_anomaly_std,ratio_included_head_std,auprc_std,class_size_pred_error_std,auroc_std,tail_pred_acc_std,tail_pred_mcc_std,tail_pred_precision_std,tail_pred_recall_std
acs-trim_min-none,0.0,16.828274103040158,96.45762160577969,62.56867322307901,0.898,99.93700024628046,84.25266891717911,0.1711541450309607,0.035423783942203094,1.0,0.0,4.667103980323635,1.0492839009642991,11.103887045528166,0.008366600265340756,0.01935131175518941,2.805895169823916,0.026367799583124903,0.010492839009643014,0.0
acs-trim_min-mode,0.0,1.4294200123418295,12.593896087737074,53.68233783449348,0.15,99.91990186048247,99.92036633833777,0.934252486134277,0.8740610391226292,1.0,0.0,0.6310969750169148,4.904447027127417,11.682319897475201,0.0,0.03859583598377505,0.03833036099062858,0.026101047720818615,0.049044470271274204,0.0
acs-trim_min-mean,9.375,8.041048241575705,42.22692878312365,70.8451031440894,0.154,99.9662991322739,94.60531306511257,0.6090016030587977,0.5777307121687636,0.90625,12.88470508005519,13.478891371420032,48.84827587693955,12.207214828720529,0.005477225575051669,0.01170939861359794,8.667781992514698,0.3833460281147693,0.4884827587693956,0.1288470508005519
acs-truncate_min-none,0.0,13.01006055863294,80.1710254162833,62.57674570518306,0.966,99.9370548028447,86.60059684887528,0.3188768729149219,0.19828974583716702,1.0,0.0,8.676483316937375,36.520787515706374,10.749341525457892,0.0054772255750516665,0.019389104392228594,11.073924168188073,0.3397864266474366,0.3652078751570638,0.0
acs-truncate_min-mode,0.0,9.372421038741587,63.267090786839084,57.781997729366154,0.5,99.92696507653169,91.97097684489563,0.48219103154514203,0.3673290921316092,1.0,0.0,7.668816734455937,44.50237873731969,12.530367004671884,0.0,0.026588504491464587,7.4748899942362454,0.4050112692320736,0.44502378737319687,0.0
acs-truncate_min-mean,0.0,17.32049569835472,95.63601921087874,72.74093120818412,0.5,99.96312352096871,86.81750535964966,0.19254807987838823,0.04363980789121248,1.0,0.0,10.864244488203015,1.445763570601494,11.917945712067418,0.0,0.01726700405094519,4.360084902187176,0.0359685585791601,0.014457635706014986,0.0
acs-half_min-none,0.0,13.00394326764434,80.4024715876392,62.56867322307901,0.8619999999999999,99.9370548028447,86.8190280534327,0.31410546459988054,0.19597528412360804,1.0,0.0,7.118286035734746,36.636887599315,11.103887045528166,0.013038404810405317,0.01938910439222636,8.726843157680927,0.3410588448426049,0.36636887599315004,0.0
acs-half_min-mode,2.2916666666666665,3.3669220126454995,43.35460688926035,53.717911395506306,0.012,98.36972967716865,97.00664164323825,0.6555284349531518,0.5664539311073964,0.9770833333333332,3.6383852492860367,3.1201272915216776,46.87216901236321,15.09502898667446,0.013038404810405297,2.223113345185847,4.047768312922079,0.40063391466915643,0.468721690123632,0.036383852492860365
acs-half_min-mean,4.875,2.731852465014258,39.94036365882549,76.73168783190502,0.024,99.27455678244283,97.30623919138452,0.668243465377803,0.600596363411745,0.9512499999999999,4.808846015417836,3.1425648719823083,49.91086581649731,14.285385921519264,0.015165750888103102,1.0266913747304887,3.637972002379549,0.4176685348282767,0.4991086581649731,0.04808846015417836
lof,97.5,54.9557543751107,99.91159844054582,0.3316396938389035,1.0,20.025723883094123,84.44448918104172,-0.02653080185353877,0.0008840155945419103,0.025,3.423265984407287,3.770057355543441,0.1212753348161582,0.10271555614990038,0.0,1.8074556936418518,0.1980041132896023,0.009390303440022986,0.0012127533481615944,0.03423265984407289
lof_norm,95.66666666666667,57.24871462483844,99.83908888868719,0.35590166631527465,1.0,21.333012520156792,84.46626096963882,-0.022652065208266053,0.0016091111131282352,0.043333333333333335,2.5786247411276357,3.6219080266936703,0.11195388698779506,0.09495072013604858,0.0,2.7921778526614656,0.1799492796735761,0.0074578848074693576,0.001119538869877985,0.025786247411276338
if,7.708333333333333,5.669775288503627,75.72527755802602,73.30985451713147,1.0,98.82362119793895,96.20660280808806,0.4331003139589975,0.2427472244197398,0.9229166666666666,8.122328620674136,3.8847221061123407,18.67087548880903,24.921852974134595,0.0,1.4090389172235382,3.736673911614447,0.23549493242358333,0.18670875488809027,0.08122328620674135
if_norm,5.192307692307692,10.201220065163387,84.96916697443609,56.00119550238655,1.0,98.7715686277091,94.72630567848682,0.340859386368264,0.15030833025563908,0.948076923076923,5.412777392970398,2.3613216848023444,13.290691118210326,33.35081615926227,0.0,1.090965870588185,3.6636129091031617,0.17330301430974893,0.13290691118210324,0.05412777392970397
ocsvm,20.875,45.72641547924891,99.0607633672504,28.434608026904414,1.0,76.48123964572699,50.388805866241455,0.04587546693431804,0.009392366327495965,0.79125,14.561292868423463,7.806441420401073,0.39795446210038554,33.87390397137367,0.0,14.486808540617199,0.23594036645446595,0.02640573266136521,0.003979544621003898,0.14561292868423462
ocsvm_norm,8.208333333333332,50.89338553194402,98.92619704000185,34.836806855259326,1.0,90.34070453502156,50.45186936855316,0.06411123544487819,0.010738029599981491,0.9179166666666667,6.9152860067791515,7.841033260559896,0.40026424605312444,24.25851698744628,0.0,6.514233596085137,0.4108086535534926,0.01995738303986712,0.004002642460531268,0.0691528600677915
dbscan,0.0,100.0,99.42434318507927,50.28782840746037,11.0,50.0,0.5756568908691406,0.0,0.005756568149207428,1.0,0.0,0.0,0.181005187261032,0.09050259363051907,0.0,0.0,0.1810052786959727,0.0,0.0018100518726103278,0.0
dbscan_norm,96.91666666666667,1.501948236768788,80.0,11.820892562042786,0.066,51.49950929399081,99.3577275890857,0.07490672427078102,0.2,0.030833333333333334,2.9107081994288286,0.7109256143386327,20.91650066335189,11.705585233888984,0.14758048651498615,1.4694685761506634,0.18975275011396944,0.0735676448739729,0.2091650066335189,0.0291070819942883
dbscan_elbow,0.0,100.0,99.42434318507927,50.28782840746037,1.0,50.0,0.5756568908691406,0.0,0.005756568149207428,1.0,0.0,0.0,0.181005187261032,0.09050259363051907,0.0,0.0,0.1810052786959727,0.0,0.0018100518726103278,0.0
dbscan_elbow_norm,0.0,100.0,99.42434318507927,50.28782840746037,1.0,50.0,0.5756568908691406,0.0,0.005756568149207428,1.0,0.0,0.0,0.181005187261032,0.09050259363051907,0.0,0.0,0.1810052786959727,0.0,0.0018100518726103278,0.0
kmeans,65.81089743589743,40.317667481991656,99.5217698819961,8.78222914819495,4.848000000000001,48.49218733455732,60.170390605926514,-0.008750680429212749,0.004782301180039112,0.3418910256410256,28.077878013265366,11.350172347238496,0.36622169217449596,18.111864909876346,1.585108829071367,16.838308051569243,13.566205995291737,0.033908119238446555,0.003662216921744938,0.2807787801326536
kmeans_norm,65.81089743589743,40.317667481991656,99.5217698819961,8.78222914819495,4.848000000000001,48.49218733455732,60.170390605926514,-0.008750680429212749,0.004782301180039112,0.3418910256410256,28.077878013265366,11.350172347238496,0.36622169217449596,18.111864909876346,1.585108829071367,16.838308051569243,13.566205995291737,0.033908119238446555,0.003662216921744938,0.2807787801326536
