method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auroc,class_size_pred_error,tail_pred_acc
lof,30.537373737373738,62.944189955815276,91.5331558223028,79.05444096051151,1.0,85.02778345346451
scs_symmin,0.0,6.748125037829391,30.12536888872905,99.82342587790833,0.0632,95.27001959085464
scs_indep,2.812121212121212,3.609288422280548,22.82544308124018,99.63450122239736,0.045599999999999995,96.96482071746141
if,14.622222222222222,13.854138122671772,70.7548932030117,2.4372900078312063,1.0,94.41723987460136
ocsvm,2.9878787878787874,54.162052856600475,95.13328596387215,9.519592722307031,1.0,52.35804617404938
dbscan,0.0,100.0,97.49752095217954,50.0,14.0,2.502479314804077
dbscan_tunned,100.0,0.0,0.0,50.0,0.048799999999999996,97.4975209608674
dbscan_tunned_elbow,1.7777777777777777,3.818180942790956,23.733810336635038,99.64352826845898,0.048799999999999996,97.09998524049297
dbscan_adaptive,100.0,0.0,0.0,50.0,0.35840000000000005,97.4975209608674
dbscan_adaptive_elbow,6.86060606060606,4.812992125984252,29.128796016704158,96.02583557809538,0.35840000000000005,95.32418173528276
kmeans,87.55555555555554,18.332703302024353,97.3838650177092,40.31230017912376,5.17,79.60522055625916
gmm,0.0,100.0,97.49752095217954,50.0,14.0,2.502479314804077
kde,100.0,0.0,0.0,52.4214648258149,1.0,97.4975209608674
affprop,5.333333333333332,53.14799820619906,94.19122316948169,92.05430451724474,0.7143999999999999,52.15473943948746
