method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auroc,class_size_pred_error,tail_pred_acc
lof,0.6727272727272727,0.5833333333333334,0.8994413407821229,0.5537146509027001,14.999999046325684,0.8340318500995636
scs_symmin,0.0,0.3888888888888889,0.8832271762208068,0.999121265377856,0.7139973640441895,0.651299238204956
scs_indep,0.0,0.12037037037037036,0.7555555555555555,1.0,0.36690062284469604,0.8575021028518677
if,0.4727272727272727,0.027777777777777776,0.5857142857142857,0.028343185812430113,14.999999046325684,0.9438390620052814
ocsvm,0.01818181818181818,0.5277777777777778,0.9095477386934674,0.18923150663045216,14.999999046325684,0.5440067052841187
dbscan,0.0,1.0,0.9538977367979883,0.5,1394.6768798828125,0.046102285385131836
dbscan_tunned,1.0,0.0,0.0,0.5,0.0,0.95389773696661
dbscan_tunned_elbow,0.0,0.07407407407407407,0.6496815286624203,1.0,0.0,0.9145012572407722
dbscan_adaptive_elbow,0.0,0.07407407407407407,0.6496815286624203,1.0,0.0,0.9145012572407722
kmeans,1.0,0.26851851851851855,1.0,0.19244288224956063,566.551025390625,0.7309304177761078
gmm,0.0,1.0,0.9538977367979883,0.5,1394.6768798828125,0.046102285385131836
kde,1.0,0.0,0.0,0.5017574692442882,14.999999046325684,0.95389773696661
affprop,0.0,0.3148148148148148,0.8556430446194225,0.9600814826649624,3.0899722576141357,0.7267393171787262
