method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auroc,class_size_pred_error,tail_pred_acc
lof,61.81818181818181,69.44444444444444,88.26815642458101,53.97827128934335,1.0,83.90611857175827
scs_symmin,0.0,19.444444444444446,76.39484978540773,99.77712094583798,0.05,85.07963120937347
scs_indep,0.0,11.11111111111111,65.83850931677019,99.97603451030515,0.01,91.11483618617058
if,21.818181818181817,7.4074074074074066,36.76470588235294,2.394951270170954,1.0,96.89857494086027
ocsvm,1.8181818181818181,46.2962962962963,90.9090909090909,9.103690685413005,1.0,54.65213656425476
dbscan,0.0,100.0,95.38977367979882,50.0,14.0,4.610228538513184
dbscan_tunned,100.0,0.0,0.0,50.0,0.0,95.389773696661
dbscan_tunned_elbow,0.0,11.11111111111111,65.83850931677019,99.9121265377856,0.0,91.11483618617058
dbscan_adaptive,100.0,0.0,0.0,50.0,0.0,95.389773696661
dbscan_adaptive_elbow,0.0,11.11111111111111,65.83850931677019,100.0,0.0,91.11483618617058
kmeans,16.363636363636363,13.88888888888889,79.0909090909091,81.0744527879853,3.62,84.6605196595192
gmm,0.0,100.0,95.38977367979882,50.0,14.0,4.610228538513184
kde,100.0,0.0,0.0,58.43585237258348,1.0,95.389773696661
affprop,0.0,59.25925925925925,92.69588313413014,98.65793257708899,0.43,41.49203896522522
