method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auprc,class_size_pred_error,auroc,tail_pred_acc,tail_pred_mcc,tail_pred_precision,tail_pred_recall
acs-trim_min-none,0.0,24.637681159420293,42.96875,66.62668597277121,0.91,98.50569448869066,92.77266785502434,0.7243760471629969,0.5703125,1.0
acs-trim_min-mode,0.0,18.84057971014493,18.88888888888889,63.776819641808125,0.33,98.21997451417647,97.76609726250172,0.889420666190655,0.8111111111111111,1.0
acs-trim_min-mean,0.0,7.246376811594203,6.41025641025641,77.2478345064334,0.33,99.38077413188913,99.34296975843608,0.9638961851230106,0.9358974358974359,1.0
acs-truncate_min-none,0.0,39.130434782608695,66.5137614678899,66.67098582678412,0.97,98.53854730805989,80.9461236000061,0.514089671886477,0.3348623853211009,1.0
acs-truncate_min-mode,0.0,21.73913043478261,23.958333333333336,63.75576088016379,0.61,98.27174259318254,96.97766099125147,0.8573189375366175,0.7604166666666666,1.0
acs-truncate_min-mean,0.0,18.84057971014493,34.82142857142857,75.8338603301975,0.61,99.33298821280663,94.87516433000565,0.7841164192708246,0.6517857142857143,1.0
acs-half_min-none,0.0,20.28985507246377,21.50537634408602,66.35920741307842,0.88,98.53655622809812,97.37187903374434,0.8729994455943269,0.7849462365591398,1.0
acs-half_min-mode,0.0,13.043478260869565,12.048192771084338,67.10368186593838,0.19,98.66896304555591,98.68593951687217,0.9309857031007388,0.8795180722891566,1.0
acs-half_min-mean,0.0,7.246376811594203,6.41025641025641,74.74534495178516,0.19,99.38077413188914,99.34296975843608,0.9638961851230106,0.9358974358974359,1.0
lof,63.013698630136986,72.46376811594203,76.52173913043478,30.24976557720346,1.0,57.74530105129022,82.39158987998962,0.1989422074345088,0.23478260869565218,0.3698630136986301
lof_norm,61.64383561643836,72.46376811594203,75.65217391304347,21.400424944460582,1.0,57.06236062440267,82.65440165996552,0.21140065212325643,0.24347826086956523,0.3835616438356164
if,42.465753424657535,8.695652173913043,19.230769230769234,83.91755323640598,1.0,98.07462567696719,94.61235217750072,0.6545528774188459,0.8076923076923077,0.5753424657534246
if_norm,67.12328767123287,2.898550724637681,7.6923076923076925,86.8426237299912,1.0,98.6281459063396,93.29829141497612,0.5282707370801357,0.9230769230769231,0.3287671232876712
ocsvm,0.0,52.17391304347826,80.83989501312337,67.74893420324642,1.0,94.74354890092386,59.52693819999695,0.3253093316594617,0.19160104986876642,1.0
ocsvm_norm,13.698630136986301,34.78260869565217,83.10991957104558,42.56453740292928,1.0,78.59389933099713,57.95006453990936,0.24296182663336835,0.16890080428954424,0.863013698630137
dbscan,0.0,100.0,90.40735873850197,54.796320630749015,14.0,50.0,9.592640399932861,0.0,0.09592641261498029,1.0
dbscan_norm,93.15068493150685,24.637681159420293,77.27272727272727,19.256099416936813,0.06,52.1891924179675,88.83048593997955,0.07695485435594014,0.22727272727272727,0.0684931506849315
dbscan_elbow,0.0,100.0,90.40735873850197,54.796320630749015,0.98,50.0,9.592640399932861,0.0,0.09592641261498029,1.0
dbscan_elbow_norm,0.0,100.0,90.40735873850197,54.796320630749015,0.98,50.0,9.592640399932861,0.0,0.09592641261498029,1.0
kmeans,13.698630136986301,55.072463768115945,85.87443946188341,11.92985374557512,4.37,56.87420356801529,48.35742712020874,0.18315515438051325,0.1412556053811659,0.863013698630137
kmeans_norm,13.698630136986301,55.072463768115945,85.87443946188341,11.92985374557512,4.37,56.87420356801529,48.35742712020874,0.18315515438051325,0.1412556053811659,0.863013698630137
gmm,0.0,100.0,90.40735873850197,54.796320630749015,14.0,50.0,9.592640399932861,0.0,0.09592641261498029,1.0
gmm_norm,0.0,100.0,90.40735873850197,54.796320630749015,14.0,50.0,9.592640399932861,0.0,0.09592641261498029,1.0
kde,0.0,100.0,90.3566710700132,54.86666666666666,1.0,50.79941860465116,10.118263959884644,0.02367823174817246,0.0964332892998679,1.0
kde_norm,0.0,20.28985507246377,66.66666666666666,64.19653419445365,1.0,93.35974832749284,80.81471771001816,0.5124420935333144,0.3333333333333333,1.0
affprop,26.027397260273972,7.246376811594203,58.139534883720934,74.32689651980864,0.54,95.49020388658809,87.64783143997192,0.49503396910150677,0.4186046511627907,0.7397260273972602
affprop_norm,26.027397260273972,7.246376811594203,49.056603773584904,72.92320946322938,0.56,95.21244823192099,90.67017063498497,0.5648650876847843,0.5094339622641509,0.7397260273972602
knnod,63.013698630136986,37.68115942028986,64.47368421052632,50.06856383855576,1.0,81.48096527556545,87.51642554998398,0.2933287111868245,0.35526315789473684,0.3698630136986301
knnod_norm,65.75342465753424,40.57971014492754,67.10526315789474,42.445308319712204,1.0,65.98239885313795,86.9908019900322,0.26356364028700807,0.32894736842105265,0.3424657534246575
