method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auroc,class_size_pred_error,tail_pred_acc
acs-trim_min-none,0.0,14.102564102564102,52.75590551181102,99.08541666666667,0.85,92.20930263400078
acs-trim_min-mode,0.0,12.82051282051282,52.0,98.98541666666667,0.19,92.4418605864048
acs-trim_min-mean,0.0,6.41025641025641,31.03448275862069,99.565625,0.18,96.86046503484249
acs-truncate_min-none,0.0,16.666666666666664,67.74193548387096,99.04166666666667,0.94,85.34883707761765
acs-truncate_min-mode,0.0,14.102564102564102,52.0,99.03229166666667,0.51,92.4418605864048
acs-truncate_min-mean,0.0,14.102564102564102,52.0,99.45416666666667,0.5,92.4418605864048
acs-half_min-none,0.0,14.102564102564102,54.19847328244275,99.08437500000001,0.79,91.74418598413467
acs-half_min-mode,0.0,7.6923076923076925,31.818181818181817,99.29895833333333,0.03,96.74418605864048
acs-half_min-mean,0.0,5.128205128205128,30.23255813953488,99.875,0.03,96.97674419730902
acs-ruled_max_step-none,0.0,17.94871794871795,52.0,94.78020833333333,0.8,92.4418605864048
acs-ruled_max_step-mode,0.0,2.564102564102564,47.368421052631575,100.0,0.0,93.72093006968498
acs-ruled_max_step-mean,0.0,1.282051282051282,26.82926829268293,100.0,0.02,97.44186047464609
acs-max_step-none,0.0,17.94871794871795,52.0,94.76770833333333,0.8,92.4418605864048
acs-double_max_step-none,0.0,17.94871794871795,52.0,94.78020833333333,0.8,92.4418605864048
scs_symmin,0.0,3.8461538461538463,29.411764705882355,100.0,0.03,97.09302317351103
scs_indep,0.0,1.282051282051282,26.82926829268293,100.0,0.01,97.44186047464609
lof,63.33333333333333,70.51282051282051,82.94573643410853,53.61041666666666,1.0,83.13953429460526
if,5.0,10.256410256410255,59.859154929577464,94.92083333333333,1.0,89.76744189858437
ocsvm,0.0,48.717948717948715,86.07888631090486,93.58541666666666,1.0,56.86046481132507
dbscan,0.0,100.0,93.02325581395348,50.0,14.0,6.976741552352905
dbscan_adaptive,100.0,0.0,0.0,50.0,0.5,93.02325546741486
dbscan_adaptive_elbow,0.0,2.564102564102564,47.368421052631575,100.0,0.5,93.72093006968498
kmeans,30.0,51.28205128205128,90.76923076923077,53.849999999999994,4.98,49.88372325897217
gmm,0.0,100.0,93.02325581395348,50.0,14.0,6.976741552352905
kde,0.0,24.358974358974358,76.09561752988047,95.52916666666668,1.0,77.7906984090805
affprop,0.0,3.8461538461538463,50.413223140495866,100.0,0.26,92.90697649121284
