method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auroc,class_size_pred_error,tail_pred_acc
lof,0.0,55.90551181102362,95.75471698113208,99.98417220639443,1.0,85.63340455293655
scs_symmin,0.0,0.7874015748031495,10.0,99.96438746438747,0.08,99.92922859382816
scs_indep,11.11111111111111,0.0,0.0,100.0,0.05,99.92922859382816
if,22.22222222222222,16.535433070866144,93.0,3.5295979740424186,1.0,93.27671602368355
ocsvm,11.11111111111111,53.54330708661418,98.86685552407933,13.453624564735673,1.0,50.53078532218933
dbscan,0.0,100.0,99.36305732484077,50.0,14.0,0.6369411945343018
dbscan_tunned,100.0,0.0,0.0,50.0,0.0,99.36305731534958
dbscan_tunned_elbow,0.0,0.7874015748031495,10.0,99.96438746438746,0.0,99.92922859382816
dbscan_adaptive,100.0,0.0,0.0,50.0,0.22,99.36305731534958
dbscan_adaptive_elbow,22.22222222222222,0.0,0.0,96.40709085153529,0.22,99.85845718765631
kmeans,100.0,18.89763779527559,100.0,43.850902184235515,4.84,80.6794062256813
gmm,0.0,100.0,99.36305732484077,50.0,14.0,0.6369411945343018
kde,100.0,0.0,0.0,58.938746438746435,1.0,99.36305731534958
affprop,44.44444444444444,40.15748031496063,99.07578558225508,67.26416587527699,1.05,61.78343892097473
