method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auroc,class_size_pred_error,tail_pred_acc
lof,25.0,64.58333333333334,88.9344262295082,84.20619927232018,1.0,86.08374446630478
scs_symmin,0.0,2.083333333333333,7.6923076923076925,99.83207388748951,0.05,99.81527093332261
scs_indep,0.0,0.0,0.0,100.0,0.02,100.0
if,0.0,13.88888888888889,46.26865671641791,99.80758466274838,1.0,98.09113293886185
ocsvm,5.555555555555555,49.30555555555556,95.80764488286067,90.43520850825635,1.0,52.032020688056946
dbscan,0.0,100.0,97.78325123152709,50.0,14.0,2.216750383377075
dbscan_tunned,100.0,0.0,0.0,50.0,0.0,97.78325129300356
dbscan_tunned_elbow,0.0,0.0,0.0,100.0,0.0,100.0
dbscan_adaptive,100.0,0.0,0.0,50.0,0.0,97.78325129300356
dbscan_adaptive_elbow,0.0,0.0,0.0,100.0,0.0,100.0
kmeans,100.0,14.583333333333334,100.0,27.649209347886927,6.19,82.32758641242981
gmm,0.0,100.0,97.78325123152709,50.0,14.0,2.216750383377075
kde,100.0,0.0,0.0,99.78484466834593,1.0,97.78325129300356
affprop,0.0,65.27777777777779,96.49805447470817,100.0,0.73,38.9162540435791
