method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auprc,class_size_pred_error,auroc,tail_pred_acc,tail_pred_mcc,tail_pred_precision,tail_pred_recall
acs-trim_min-none,0.0,18.38235294117647,57.14285714285714,54.82010721836302,0.88,99.358687546607,96.85452170670033,0.6440225932924566,0.42857142857142855,1.0
acs-trim_min-mode,0.0,10.294117647058822,28.000000000000004,50.93152267354395,0.2,99.24310216256525,99.08256884664297,0.8445323554067417,0.72,1.0
acs-trim_min-mean,0.0,8.823529411764707,25.0,66.03294179525508,0.2,99.56189410887397,99.21363042667508,0.8625310032361875,0.75,1.0
acs-truncate_min-none,0.0,23.52941176470588,83.09859154929578,53.561779321657745,0.96,99.30369127516778,88.401048630476,0.3859230136372583,0.16901408450704225,1.0
acs-truncate_min-mode,0.0,16.176470588235293,40.0,53.17460317460316,0.53,99.30648769574944,98.42726085335016,0.7683329815059345,0.6,1.0
acs-truncate_min-mean,0.0,8.823529411764707,25.0,58.574057902925446,0.53,99.4351230425056,99.21363042667508,0.8625310032361875,0.75,1.0
acs-half_min-none,0.0,21.323529411764707,73.33333333333333,51.44476598280946,0.84,99.36334824757644,93.5124509036541,0.49894743797448,0.26666666666666666,1.0
acs-half_min-mode,0.0,12.5,32.075471698113205,51.449275362318836,0.05,99.36428038777032,98.88597643002868,0.8194482928300042,0.6792452830188679,1.0
acs-half_min-mean,0.0,4.411764705882353,14.285714285714285,61.32605820105819,0.06,99.6234153616704,99.60681521333754,0.9239541520918585,0.8571428571428571,1.0
lof,0.0,55.88235294117647,84.27947598253274,82.23006332108335,1.0,99.7427293064877,87.35255599021912,0.3699221725752396,0.1572052401746725,1.0
lof_norm,30.555555555555557,58.08823529411765,89.08296943231441,57.67334484019611,1.0,79.66815809097689,85.91087758541107,0.23693336102619542,0.1091703056768559,0.6944444444444444
if,11.11111111111111,13.970588235294118,74.60317460317461,58.205986454768166,1.0,97.94742729306488,93.57798174023628,0.4553767314214603,0.25396825396825395,0.8888888888888888
if_norm,0.0,12.5,62.88659793814433,92.05112978204797,1.0,99.75018642803877,96.00262120366096,0.5966070258255212,0.3711340206185567,1.0
ocsvm,0.0,52.20588235294118,95.2755905511811,15.119638908503264,1.0,92.1793437733035,52.42463946342468,0.15564218167782734,0.047244094488188976,1.0
ocsvm_norm,0.0,52.94117647058824,95.28178243774575,46.53895940266132,1.0,96.27889634601044,52.35911011695862,0.15543832804525193,0.047182175622542594,1.0
dbscan,0.0,100.0,97.64089121887287,51.17955439056357,14.0,50.0,2.359110116958618,0.0,0.023591087811271297,1.0
dbscan_norm,0.0,10.294117647058822,30.76923076923077,84.61538461538461,0.31,99.46308724832214,98.9515071734786,0.8275708524023783,0.6923076923076923,1.0
dbscan_elbow,0.0,100.0,97.64089121887287,51.17955439056357,0.99,50.0,2.359110116958618,0.0,0.023591087811271297,1.0
dbscan_elbow_norm,0.0,100.0,97.64089121887287,51.17955439056357,0.99,50.0,2.359110116958618,0.0,0.023591087811271297,1.0
kmeans,88.88888888888889,33.82352941176471,99.2156862745098,7.042966461838956,7.48,39.56002982848621,64.74443078041077,-0.0735144014658523,0.00784313725490196,0.1111111111111111
kmeans_norm,88.88888888888889,33.82352941176471,99.2156862745098,7.042966461838956,7.48,39.56002982848621,64.74443078041077,-0.0735144014658523,0.00784313725490196,0.1111111111111111
gmm,0.0,100.0,97.64089121887287,51.17955439056357,14.0,50.0,2.359110116958618,0.0,0.023591087811271297,1.0
gmm_norm,0.0,100.0,97.64089121887287,51.17955439056357,14.0,50.0,2.359110116958618,0.0,0.023591087811271297,1.0
kde,0.0,100.0,97.63779527559055,51.181102362204726,1.0,50.06711409395973,2.490168809890747,0.005630936508719265,0.023622047244094488,1.0
kde_norm,0.0,33.088235294117645,91.02244389027432,57.62001569199452,1.0,96.00111856823266,76.08125805854797,0.26035276305649285,0.08977556109725686,1.0
affprop,0.0,27.941176470588236,83.41013824884793,100.0,0.72,100.0,88.13892528414726,0.3817667251493537,0.16589861751152074,1.0
affprop_norm,0.0,17.647058823529413,83.78378378378379,100.0,0.73,99.99999999999999,87.81127110123634,0.3767215155899143,0.16216216216216217,1.0
knnod,0.0,30.88235294117647,76.47058823529412,98.46853800309403,1.0,99.96085011185681,92.33289659023285,0.4656372003703449,0.23529411764705882,1.0
knnod_norm,0.0,24.264705882352942,76.47058823529412,99.2436615359732,1.0,99.9813571961223,92.33289659023285,0.4656372003703449,0.23529411764705882,1.0
