test_data_name,image_auroc,pixel_auroc
bottle,98.4126984126984,98.14335526672492
cable,99.23163418290855,95.8525660951926
capsule,91.02512963701635,98.48600344404936
carpet,99.23756019261637,98.78865117615196
grid,92.98245614035088,93.7932006379223
hazelnut,97.07142857142857,98.04669890174283
leather,100.0,99.26918653644775
metal_nut,99.90224828934507,97.76165383746455
pill,90.97108565193672,96.15004184902021
screw,76.08116417298628,97.73742702061644
tile,99.71139971139971,95.10900266296281
toothbrush,99.44444444444444,98.65607330938832
transistor,99.75,94.78037329241984
wood,95.52631578947368,89.42448073859369
zipper,98.3718487394958,98.46713987460141
