test_data_name,image_auroc,pixel_auroc
bottle,97.53968253968253,98.36929419140084
cable,99.04422788605697,97.10267827323362
capsule,94.57518946948544,98.09940388577033
carpet,98.9967897271268,99.08044083040076
grid,72.26399331662489,66.5607188669556
hazelnut,100.0,96.60874955200133
leather,100.0,99.31050510873436
metal_nut,67.35092864125123,89.47808594004869
pill,88.76159301691217,94.49378460935324
screw,91.5351506456241,95.19990343017687
tile,96.57287157287158,91.03652785645156
toothbrush,99.44444444444444,98.38043285402614
transistor,93.66666666666667,87.92801147387999
wood,98.24561403508771,94.92510923575973
zipper,96.1922268907563,96.96707975313214
