test_data_name,image_auroc,pixel_auroc
bottle,99.60317460317461,98.36763759762054
cable,98.95052473763118,96.9356322782534
capsule,86.23853211009175,97.91749771679804
carpet,99.23756019261639,98.733244242538
grid,62.40601503759399,66.29518276850084
hazelnut,92.17857142857143,97.59256151662576
leather,100.0,99.25264121289894
metal_nut,99.95112414467253,79.46767307835812
pill,78.75068194217131,95.77917396339893
screw,39.45480631276902,95.08027375926511
tile,98.52092352092352,94.77660041081431
toothbrush,88.05555555555556,96.96048457794933
transistor,95.375,84.25310368481432
wood,96.84210526315789,92.09656040442886
zipper,97.26890756302521,97.58833886874996
