test_data_name,image_auroc,pixel_auroc
bottle,99.52380952380952,98.49316093461478
cable,98.63193403298351,97.02011516816323
capsule,94.17630634224172,98.23143392608097
carpet,99.43820224719101,99.12711112156607
grid,98.4126984126984,94.90799726960918
hazelnut,100.0,97.43884135366385
leather,100.0,99.30663304923766
metal_nut,97.89833822091887,95.9042711689471
pill,87.67048554282596,96.23422279888332
screw,92.9903668784587,97.0622113683553
tile,98.59307359307358,91.24208138949167
toothbrush,99.44444444444444,98.3717336324832
transistor,92.45833333333333,87.31125352933041
wood,98.50877192982455,94.93059635975737
zipper,96.27100840336134,98.11281526009613
