test_data_name,image_auroc,pixel_auroc
bottle,100.0,98.40950833764946
cable,97.65742128935531,94.22906700090823
capsule,87.11607499002793,98.37471568385101
carpet,90.56982343499197,88.65322141536792
grid,67.0843776106934,74.8999683474944
hazelnut,72.85714285714285,74.82293152759652
leather,100.0,99.30851494154729
metal_nut,98.09384164222874,97.77703645102466
pill,89.22531369339879,96.13846200822458
screw,78.3562205369953,96.12437342960621
tile,99.45887445887448,95.4327326105062
toothbrush,100.0,98.62373357877672
transistor,96.66666666666669,85.54305880448506
wood,98.94736842105263,95.04214424217811
zipper,97.26890756302521,96.27861187500207
