test_data_name,image_auroc,pixel_auroc
bottle,37.06349206349206,87.8454445454554
cable,52.679910044977504,70.72506265633444
capsule,41.44395692062226,92.8924270858366
carpet,99.23756019261636,98.94866005452641
grid,97.49373433583959,97.35674628853236
hazelnut,78.85714285714286,94.96660324730453
leather,100.0,99.32590492818709
metal_nut,97.89833822091887,94.034181092796
pill,93.12602291325696,97.11437492659891
screw,48.411559745849566,92.47116223377904
tile,99.24242424242425,94.8263833007978
toothbrush,99.72222222222223,98.53097125768471
transistor,99.37499999999999,95.50395770134652
wood,98.59649122807016,93.57334592904353
zipper,96.95378151260505,98.35074241111275
