test_data_name,image_auroc,pixel_auroc
bottle,99.92063492063492,98.40728778717941
cable,78.33583208395802,84.73494882327508
capsule,69.76465895492622,96.18147683733373
carpet,98.23434991974317,98.9695468715142
grid,84.54469507101085,80.56695947694004
hazelnut,93.25,96.46400618954505
leather,100.0,99.30527256499329
metal_nut,66.7644183773216,94.25492097318015
pill,90.97108565193672,96.82805396513258
screw,49.395367903258865,92.2922454159299
tile,99.3867243867244,95.20866983439643
toothbrush,99.44444444444444,98.40403351606521
transistor,85.70833333333331,90.44326407565691
wood,98.68421052631578,94.76243633466169
zipper,94.40651260504202,98.22814576999778
