test_data_name,image_auroc,pixel_auroc
bottle,99.60317460317461,98.47127426647208
cable,93.74062968515742,90.23969138018519
capsule,89.19026725169526,98.59528182346618
carpet,99.67897271268058,96.85569688151128
grid,93.23308270676691,88.79297441325802
hazelnut,100.0,98.36667599810812
leather,100.0,99.29363278992336
metal_nut,96.48093841642229,97.00115474309008
pill,88.48881614839061,96.92107503431116
screw,73.43717974994875,97.17480397529216
tile,96.75324675324676,91.19487123105294
toothbrush,100.0,98.67832375770978
transistor,95.91666666666667,91.29605808364197
wood,95.26315789473685,94.68619009461977
zipper,97.50525210084034,97.71412988893825
