test_data_name,image_auroc,pixel_auroc
bottle,99.68253968253968,98.3554699293517
cable,98.9880059970015,97.05437786919757
capsule,64.2600717989629,96.97349092492928
carpet,99.19743178170144,98.71569187183226
grid,59.06432748538012,70.57218707725589
hazelnut,96.67857142857143,97.74826358370893
leather,100.0,99.26984226000303
metal_nut,99.90224828934507,96.98359120523645
pill,86.82487725040914,95.80524174153376
screw,65.64869850379176,96.5698872790808
tile,99.45887445887446,94.94962665581052
toothbrush,91.66666666666667,97.50734091312322
transistor,95.0,83.30797537979251
wood,97.01754385964912,91.92921656511864
zipper,96.13970588235294,97.46927334153607
