test_data_name,image_auroc,pixel_auroc
bottle,98.96825396825398,98.2175779854537
cable,89.54272863568215,84.79403713949408
capsule,63.861188671719184,97.11083342376416
carpet,99.11717495987158,98.78187703480657
grid,96.40768588137009,94.34342657164414
hazelnut,96.60714285714288,97.70475637717234
leather,100.0,99.2672202295961
metal_nut,99.65786901270772,83.79430497109487
pill,91.24386252045828,95.57831914234704
screw,59.90981758557081,94.39395455156131
tile,97.25829725829726,94.4423133056845
toothbrush,99.44444444444444,98.48680322835001
transistor,95.16666666666666,83.71040793037903
wood,98.7719298245614,92.78541197964462
zipper,96.08718487394958,93.3834514049039
