test_data_name,image_auroc,pixel_auroc
bottle,100.0,98.37451941782733
cable,94.69640179910044,88.68158403904317
capsule,93.97686477861986,98.39896221957923
carpet,99.23756019261639,99.07810013030303
grid,97.6608187134503,95.99043830362838
hazelnut,99.82142857142857,98.67781156797328
leather,100.0,99.27449071849979
metal_nut,99.70674486803519,84.88098813821432
pill,92.08947081287506,96.6624947770626
screw,70.40377126460339,97.8445670054277
tile,99.49494949494951,95.4399026402625
toothbrush,100.0,98.60595588056296
transistor,95.49999999999999,87.44315765188433
wood,98.42105263157895,94.38985983461276
zipper,97.03256302521008,94.72694372051019
