test_data_name,image_auroc,pixel_auroc
bottle,99.76190476190476,98.16637954125616
cable,71.30809595202398,79.07593439481398
capsule,98.04547267650578,98.95080175440977
carpet,98.15409309791332,98.96437900001823
grid,97.99498746867168,98.73728097276701
hazelnut,82.67857142857142,92.34977883912129
leather,100.0,99.28594813596264
metal_nut,69.20821114369501,90.30581419240613
pill,96.69939989088925,97.52859377236462
screw,49.49784791965567,89.26862501520367
tile,99.45887445887446,95.88640003012607
toothbrush,91.3888888888889,96.9555434967352
transistor,94.04166666666667,90.56824473194075
wood,98.7719298245614,95.15043808264642
zipper,99.63235294117648,98.84118377854048
