test_data_name,image_auroc,pixel_auroc
bottle,99.60317460317461,98.30582003954905
cable,89.89880059970015,84.10385804797147
capsule,77.02433187076187,97.01446273933719
carpet,99.11717495987159,99.16261922656263
grid,98.83040935672514,98.36210981856003
hazelnut,99.03571428571428,98.00867942533876
leather,100.0,99.29319488415669
metal_nut,99.75562072336265,98.5483143217125
pill,84.53355155482815,96.47243101634233
screw,95.30641524902643,98.85729244238306
tile,99.27849927849928,94.96949579706498
toothbrush,99.16666666666667,98.38777032547361
transistor,92.91666666666669,90.35012195738274
wood,98.50877192982456,93.99201677414896
zipper,97.76785714285714,98.76268576977073
