test_data_name,image_auroc,pixel_auroc
bottle,31.349206349206348,43.562177104859515
cable,51.23688155922039,53.333038126767086
capsule,95.85161547666534,98.84984971402635
carpet,96.02728731942214,96.72975099932447
grid,97.74436090225564,97.34665054940484
hazelnut,82.03571428571429,90.98622686696076
leather,100.0,99.3006150791845
metal_nut,34.31085043988269,69.8409255312088
pill,95.39007092198581,97.74950579810839
screw,56.527977044476316,88.81675065261663
tile,76.44300144300145,59.29679064932557
toothbrush,67.77777777777779,84.78216216698897
transistor,44.125,61.50482940191798
wood,98.7719298245614,95.29047725120999
zipper,97.45273109243698,98.77823303715395
