test_data_name,image_auroc,pixel_auroc
bottle,39.444444444444436,61.64109292224255
cable,94.75262368815594,94.64579277848311
capsule,95.45273234942162,98.72638909553014
carpet,99.03691813804173,99.07282798866133
grid,71.42857142857143,74.04427957303083
hazelnut,100.0,92.77271932479971
leather,99.96603260869566,99.29653075601045
metal_nut,52.83479960899315,79.14245956160431
pill,45.962902345881076,78.38438524963448
screw,92.53945480631278,94.51313173477143
tile,95.70707070707071,95.64473670484819
toothbrush,100.0,98.31572142197163
transistor,62.83333333333333,75.43536830421293
wood,97.63157894736842,94.27092616696662
zipper,24.369747899159666,90.12446599172233
