test_data_name,image_auroc,pixel_auroc
candle,96.73,99.01203016636626
capsules,67.68333333333334,93.45425280860474
cashew,95.19999999999999,98.55785061317242
chewinggum,98.92,99.03118796359796
fryum,92.62,91.33694831475971
macaroni1,89.86,93.71084400225674
macaroni2,70.32000000000001,96.20854193736838
pcb1,95.83000000000001,99.23666808831756
pcb2,92.30000000000001,98.42063294486077
pcb3,88.18811881188118,99.07470712805284
pcb4,99.3069306930693,97.14878437215295
pipe_fryum,98.42,95.39149341187296
