test_data_name,image_auroc,pixel_auroc
candle,26.540000000000003,72.80081273654805
capsules,67.55,94.30201916476591
cashew,97.50000000000001,98.29253412712531
chewinggum,56.16,91.75987098953591
fryum,94.52000000000001,91.6430618756964
macaroni1,94.07,99.60699372131549
macaroni2,40.279999999999994,82.4189715522441
pcb1,31.459999999999994,79.20311355072597
pcb2,95.16000000000001,98.59156667007737
pcb3,53.4950495049505,83.26161030731846
pcb4,66.37623762376238,79.34589837321003
pipe_fryum,48.42,93.64956459942681
