Data name,Tail type,Method,Noise ratio,Image-level AUROC mean,Pixel-level AUROC mean,Image-level AUROC std,Pixel-level AUROC std
MVTecAD,Pareto,TailedPatch,0,96.84493333,97.0036,1.475697995,0.8480045877
MVTecAD,Pareto,TailedPatch,5,95.14573333,93.88253333,3.643360524,3.877346167
MVTecAD,Pareto,TailedPatch,10,96.1288,95.2976,1.936459427,2.893670889
MVTecAD,Pareto,TailedPatch,40,90.7204,85.0716,7.775228762,12.54234485
MVTecAD,Pareto,PatchCore,0,95.91893333,96.42213333,2.712835195,1.349933842
MVTecAD,Pareto,PatchCore,5,91.8132,92.77746667,5.334268247,4.688261058
MVTecAD,Pareto,PatchCore,10,89.0836,89.73146667,9.166007916,8.943182755
MVTecAD,Pareto,PatchCore,40,59.01093333,63.5808,39.01303957,34.05595117
MVTecAD,Pareto,SoftPatch,0,87.6988,94.16533333,10.89378525,4.502410782
MVTecAD,Pareto,SoftPatch,5,87.76306667,93.59853333,10.38861172,3.734451505
MVTecAD,Pareto,SoftPatch,10,89.08973333,94.016,9.513041595,3.918810369
MVTecAD,Pareto,SoftPatch,40,84.904,86.7344,8.760131662,7.445529968
MVTecAD,step K1,TailedPatch,0,95.30906667,95.80746667,3.315298818,1.924827516
MVTecAD,step K1,TailedPatch,5,94.77253333,95.0148,3.889013043,2.298389437
MVTecAD,step K1,TailedPatch,10,94.43706667,93.9976,3.721484191,2.862930523
MVTecAD,step K1,TailedPatch,40,91.5468,89.728,6.053113892,8.867774763
MVTecAD,step K1,PatchCore,0,91.45493333,94.5712,7.760665732,3.425356938
MVTecAD,step K1,PatchCore,5,80.28053333,86.85253333,8.070769685,6.558116318
MVTecAD,step K1,PatchCore,10,79.69546667,83.7724,9.527224359,11.20838464
MVTecAD,step K1,PatchCore,40,57.3368,64.00506667,32.72567264,31.33422767
MVTecAD,step K1,SoftPatch,0,75.58053333,80.76186667,18.93448213,13.28176281
MVTecAD,step K1,SoftPatch,5,75.71746667,80.5168,18.73433075,13.16049199
MVTecAD,step K1,SoftPatch,10,74.96173333,80.16253333,19.20840889,12.83241837
MVTecAD,step K1,SoftPatch,40,74.62253333,78.45786667,18.23635221,10.14332529
MVTecAD,step K4,TailedPatch,0,96.66626667,96.54973333,2.009096055,1.121110259
MVTecAD,step K4,TailedPatch,5,96.3948,95.39773333,2.158464052,2.323043606
MVTecAD,step K4,TailedPatch,10,95.7196,94.74933333,2.849628655,2.727481651
MVTecAD,step K4,TailedPatch,40,93.30333333,89.6116,4.670495821,8.619292363
MVTecAD,step K4,PatchCore,0,94.9064,95.422,4.248403233,1.926027922
MVTecAD,step K4,PatchCore,5,89.24066667,90.17133333,5.868210432,6.557112608
MVTecAD,step K4,PatchCore,10,83.6692,85.1936,11.78522001,11.7373101
MVTecAD,step K4,PatchCore,40,62.17146667,65.08946667,37.95523865,35.96345921
MVTecAD,step K4,SoftPatch,0,78.93866667,86.6292,17.71686162,9.151545393
MVTecAD,step K4,SoftPatch,5,79.00853333,86.47533333,17.67260852,8.85370343
MVTecAD,step K4,SoftPatch,10,78.90026667,86.1692,17.83404543,8.602206745
MVTecAD,step K4,SoftPatch,40,78.52546667,83.11573333,16.70833732,6.93396817
