method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auprc,class_size_pred_error,auroc,tail_pred_acc,tail_pred_mcc,tail_pred_precision,tail_pred_recall
acs-trim_min-none,2.5,13.20754716981132,82.7433628318584,83.00547903719627,0.81,98.78624883068288,83.04779082536697,0.37035000028835213,0.17256637168141592,0.975
acs-trim_min-mode,0.0,1.8867924528301887,57.446808510638306,84.98529935851747,0.16,99.26333021515435,95.13074830174446,0.6356385633186176,0.425531914893617,1.0
acs-trim_min-mean,5.0,1.8867924528301887,58.69565217391305,75.86033155803554,0.19,98.51028999064546,94.95040588080883,0.6080770675271963,0.41304347826086957,0.95
acs-truncate_min-none,2.5,13.20754716981132,82.96943231441048,83.1537247813705,0.93,98.55004677268475,82.77727663516998,0.3672500090573775,0.1703056768558952,0.975
acs-truncate_min-mode,0.0,5.660377358490567,72.6027397260274,83.87257295663295,0.5,99.21421889616462,90.44183939695358,0.49679573496656476,0.273972602739726,1.0
acs-truncate_min-mean,7.5,3.7735849056603774,67.54385964912281,74.600739207135,0.51,97.87067352666044,92.78629422187805,0.5237073539316354,0.32456140350877194,0.925
acs-half_min-none,2.5,13.20754716981132,83.11688311688312,82.81916581648474,0.73,98.81431244153414,82.59693384170532,0.36521390572916396,0.16883116883116883,0.975
acs-half_min-mode,7.5,1.8867924528301887,59.34065934065934,75.76828667726234,0.16,95.37418147801684,94.8602344840765,0.5941236987336026,0.4065934065934066,0.925
acs-half_min-mean,7.5,5.660377358490567,74.12587412587412,73.89910805269966,0.16,96.6463985032741,90.17132520675659,0.4594721411120174,0.25874125874125875,0.925
lof,72.5,47.16981132075472,93.41317365269461,12.206331834211781,1.0,44.56969130028064,83.31830501556396,0.06729113580795001,0.0658682634730539,0.275
if,22.5,7.547169811320755,67.36842105263158,56.271029463351894,1.0,96.70252572497662,93.4174932539463,0.47645693267386685,0.3263157894736842,0.775
ocsvm,2.5,56.60377358490566,92.93478260869566,48.84838221624823,1.0,91.94574368568755,53.65193784236908,0.18463982822203986,0.07065217391304347,0.975
dbscan,0.0,100.0,96.39314697926059,51.8034265103697,11.0,50.0,3.606855869293213,0.0,0.03606853020739405,1.0
dbscan_elbow,0.0,100.0,96.39314697926059,51.8034265103697,0.99,50.0,3.606855869293213,0.0,0.03606853020739405,1.0
