method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auroc,class_size_pred_error,tail_pred_acc
datamax,93.61702127659575,1.6666666666666667,25.0,96.92175436856289,1.0,96.62668667733669
data_double_max,0.0,100.0,96.47411852963242,96.92175436856289,1.0,3.598201274871826
data_hard_max,100.0,0.0,0.0,96.92175436856289,1.0,96.47676162421703
acs-trim_min-none,0.0,20.0,75.0,100.0,0.79,89.43028450012207
acs-trim_min-mode,0.0,13.333333333333334,73.74301675977654,99.99999999999999,0.15,90.10494723916054
acs-trim_min-mean,10.638297872340425,6.666666666666667,61.46788990825688,97.40944634561654,0.24,94.60269883275032
acs-truncate_min-none,0.0,21.666666666666668,75.77319587628865,100.0,0.93,88.98051008582115
acs-truncate_min-mode,0.0,13.333333333333334,73.59550561797754,99.99999999999999,0.47,90.17990976572037
acs-truncate_min-mean,0.0,13.333333333333334,73.74301675977654,100.0,0.45,90.10494723916054
acs-half_min-none,0.0,20.0,74.8663101604278,99.99999999999999,0.71,89.5052470266819
acs-half_min-mode,0.0,6.666666666666667,58.77192982456141,100.0,0.09,94.97751109302044
acs-half_min-mean,14.893617021276595,6.666666666666667,62.616822429906534,97.10195242110137,0.2,94.45277377963066
acs-ruled_max_step-none,0.0,13.333333333333334,74.03314917127072,99.17009704243746,0.73,89.95502218604088
acs-ruled_max_step-mode,23.404255319148938,13.333333333333334,78.57142857142857,86.51820992246525,0.34,89.28036019206047
acs-ruled_max_step-mean,23.404255319148938,13.333333333333334,78.57142857142857,92.30438592140719,0.29,89.28036019206047
acs-max_step-none,4.25531914893617,13.333333333333334,74.57627118644068,97.4044867661889,0.66,89.95502218604088
acs-double_max_step-none,0.0,13.333333333333334,74.03314917127072,99.17009704243746,0.73,89.95502218604088
scs_symmin,23.404255319148938,6.666666666666667,65.0485436893204,94.79740118037991,0.4,94.15292367339134
scs_indep,23.404255319148938,5.0,60.43956043956044,90.42883830117873,0.72,95.05247361958027
lof,85.1063829787234,50.0,96.5,40.080014548099655,1.0,82.53373354673386
if,21.27659574468085,11.666666666666666,73.38129496402878,96.06540032071946,1.0,91.60419777035713
ocsvm,6.382978723404255,48.333333333333336,93.4032983508246,82.44474201921011,1.0,53.07346284389496
dbscan,0.0,100.0,96.47676161919041,50.0,11.0,3.5232365131378174
dbscan_adaptive,100.0,0.0,0.0,50.0,1.23,96.47676162421703
dbscan_adaptive_elbow,40.42553191489361,13.333333333333334,82.5,85.34857577410769,1.23,88.68065997958183
kmeans,0.0,58.333333333333336,93.84010484927916,78.75894790788408,2.47,46.326833963394165
gmm,0.0,100.0,96.47676161919041,50.0,11.0,3.5232365131378174
kde,0.0,40.0,90.12605042016807,92.54492552364893,1.0,67.84107983112335
affprop,0.0,6.666666666666667,58.77192982456141,99.57843574864852,0.55,94.97751109302044
