method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auprc,class_size_pred_error,auroc,tail_pred_acc,tail_pred_mcc,tail_pred_precision,tail_pred_recall
acs-trim_min-none,0.0,4.3478260869565215,84.44444444444444,100.0,0.84,100.0,98.88856392353773,0.392202891352027,0.15555555555555556,1.0
acs-trim_min-mode,14.285714285714285,0.0,0.0,100.0,0.15,100.0,99.97075168066658,0.9256844584122494,1.0,0.8571428571428571
acs-trim_min-mean,14.285714285714285,0.0,0.0,100.0,0.15,100.0,99.97075168066658,0.9256844584122494,1.0,0.8571428571428571
acs-truncate_min-none,0.0,26.08695652173913,99.1358024691358,100.0,0.94,100.0,76.51360034942627,0.08129035850437556,0.008641975308641974,1.0
acs-truncate_min-mode,14.285714285714285,0.0,0.0,100.0,0.5,100.0,99.97075168066658,0.9256844584122494,1.0,0.8571428571428571
acs-truncate_min-mean,14.285714285714285,0.0,0.0,100.0,0.49,100.0,99.97075168066658,0.9256844584122494,1.0,0.8571428571428571
acs-half_min-none,0.0,5.590062111801243,87.71929824561403,100.0,0.78,100.0,98.53758411481977,0.3478611556940695,0.12280701754385964,1.0
acs-half_min-mode,14.285714285714285,0.0,0.0,85.74144853426759,0.28,85.71428571428572,99.97075168066658,0.9256844584122494,1.0,0.8571428571428571
acs-half_min-mean,28.57142857142857,0.0,0.0,71.57242659724305,0.4,89.71277842907385,99.94150336133316,0.8449066630270768,1.0,0.7142857142857143
lof,0.0,59.006211180124225,98.635477582846,99.99999999999997,1.0,100.0,85.20035147666931,0.10780369115770574,0.01364522417153996,1.0
lof_norm,0.0,58.38509316770186,98.635477582846,99.99999999999997,1.0,100.0,85.20035147666931,0.10780369115770574,0.01364522417153996,1.0
if,0.0,14.285714285714285,95.625,81.7532012805122,1.0,99.6608608273321,95.52500732243061,0.2044215597520036,0.04375,1.0
if_norm,0.0,12.422360248447205,95.2054794520548,93.26530612244896,1.0,99.98325238653491,95.93448378145695,0.21445742323749634,0.04794520547945205,1.0
ocsvm,0.0,49.68944099378882,99.59040374488005,71.79507227195752,1.0,95.91776921788646,50.21936297416687,0.0453076495465171,0.004095962551199532,1.0
ocsvm_norm,0.0,57.14285714285714,99.59954233409611,81.76767676767676,1.0,99.82415005861665,49.07867908477783,0.04428554763756025,0.004004576659038902,1.0
dbscan,0.0,100.0,99.79526177244809,50.10236911377596,11.0,50.0,0.20473599433898926,0.0,0.0020473822755191578,1.0
dbscan_norm,0.0,0.0,0.0,100.0,0.01,100.0,100.0,1.0,1.0,1.0
dbscan_elbow,0.0,100.0,99.79526177244809,50.10236911377596,1.0,50.0,0.20473599433898926,0.0,0.0020473822755191578,1.0
dbscan_elbow_norm,0.0,100.0,99.79526177244809,50.10236911377596,1.0,50.0,0.20473599433898926,0.0,0.0020473822755191578,1.0
kmeans,71.42857142857143,55.90062111801242,99.89479221462389,0.12572468824231456,3.66,32.48408976720817,44.31120157241821,-0.024640906209467937,0.0010520778537611783,0.2857142857142857
kmeans_norm,71.42857142857143,55.90062111801242,99.89479221462389,0.12572468824231456,3.66,32.48408976720817,44.31120157241821,-0.024640906209467937,0.0010520778537611783,0.2857142857142857
gmm,0.0,100.0,99.79526177244809,50.10236911377596,11.0,50.0,0.20473599433898926,0.0,0.0020473822755191578,1.0
gmm_norm,0.0,100.0,99.79526177244809,50.10236911377596,11.0,50.0,0.20473599433898926,0.0,0.0020473822755191578,1.0
kde,0.0,100.0,99.79502196193265,50.10248901903368,1.0,50.058616647127785,0.3217339515686035,0.001550169366639619,0.0020497803806734994,1.0
kde_norm,28.57142857142857,6.211180124223603,92.3076923076923,71.60193069482821,1.0,91.76854798191258,98.1866043061018,0.23060121077990275,0.07692307692307693,0.7142857142857143
affprop,42.857142857142854,1.2422360248447204,95.23809523809523,57.793189259707574,0.9,84.33888795846592,97.5723896175623,0.16000449848897808,0.047619047619047616,0.5714285714285714
affprop_norm,57.14285714285714,24.22360248447205,99.29078014184397,43.19774074585914,0.92,84.02696365767878,87.59871274232864,0.041936309215402236,0.0070921985815602835,0.42857142857142855
knnod,0.0,45.962732919254655,97.953216374269,99.99999999999997,1.0,100.0,90.20181372761726,0.1358611241878089,0.02046783625730994,1.0
knnod_norm,0.0,44.72049689440994,97.953216374269,99.99999999999997,1.0,100.0,90.20181372761726,0.1358611241878089,0.02046783625730994,1.0
