method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auroc,class_size_pred_error,tail_pred_acc
acs-max_step-none,0.0,4.3478260869565215,53.333333333333336,99.90621336459554,0.79,99.81273408047855
acs-max_step-mode,28.57142857142857,0.0,0.0,71.42857142857142,1.33,99.95318352011964
acs-double_max_step-none,0.0,4.891304347826087,63.1578947368421,99.90621336459554,0.79,99.71910112071782
acs-double_max_step-mode,28.57142857142857,0.0,0.0,71.43861999665047,1.11,99.95318352011964
acs-double_min_bin_count-none,71.42857142857143,10.869565217391305,99.59016393442623,27.67710601239324,5.03,88.50655406713486
acs-double_min_bin_count-mode,100.0,0.5434782608695652,100.0,21.52235806397588,7.11,99.81273408047855
acs-min_kde-none,28.57142857142857,22.282608695652172,99.21630094043887,74.16680623011221,3.84,85.13576835393906
acs-double_min_kde-none,28.57142857142857,22.282608695652172,99.21630094043887,71.10869201138838,3.46,85.13576835393906
scs_symmin,14.285714285714285,0.0,0.0,92.07502930832355,0.62,99.97659176005982
scs_indep,14.285714285714285,0.0,0.0,90.37682130296433,0.89,99.97659176005982
lof,0.0,72.28260869565217,98.90795631825273,100.0,1.0,85.15917658805847
if,0.0,19.565217391304348,96.60194174757282,99.87941718305142,1.0,95.34176029264927
ocsvm,0.0,64.13043478260869,99.67197750702906,91.11036677273488,1.0,50.21067559719086
dbscan,0.0,100.0,99.83614232209737,50.0,11.0,0.16385912895202637
dbscan_adaptive,100.0,0.0,0.0,50.0,2.44,99.8361423262395
dbscan_adaptive_elbow,42.857142857142854,9.239130434782608,99.15966386554622,84.15675766203317,2.44,88.8810858130455
kmeans,14.285714285714285,51.08695652173913,99.74704890387859,55.58365432925808,3.22,44.59269642829895
gmm,0.0,100.0,99.83614232209737,50.0,11.0,0.16385912895202637
kde,0.0,16.847826086956523,98.8976377952756,98.17451013230615,1.0,85.29962599277496
affprop,85.71428571428571,5.434782608695652,98.66666666666667,68.51616144699379,1.0,98.12734089791775
